Bumps,Dirtiness,K_Scratch,Other_Faults,Pastry,Stains,Z_Scratch
56,0,0,21,3,0,1
2,9,0,0,0,0,0
0,0,76,2,0,0,0
15,2,3,107,6,1,1
5,0,0,6,21,0,0
0,0,0,0,0,14,0
0,0,0,5,0,0,33
