Bumps,Dirtiness,K_Scratch,Other_Faults,Pastry,Stains,Z_Scratch
128,0,0,64,8,0,1
0,21,0,5,1,0,0
2,0,184,9,0,0,1
41,4,5,262,20,2,3
4,0,0,30,45,0,0
0,0,0,0,0,36,0
0,0,0,16,1,0,78
