anchor_index,anchor_label,weight
117,2,3.6817564e-06
366,2,2.0396078e-06
7,2,2.2344043e-06
112,2,2.429861e-06
15,2,2.5101485e-06
73,2,2.2487825e-06
58,2,2.5176837e-06
354,2,2.3511814e-06
42,2,1.9387808e-06
40,2,2.0260084e-06
381,2,2.4915955e-06
353,2,1.8056779e-06
144,2,2.1684095e-06
394,2,2.4123453e-06
51,2,2.2598974e-06
216,1,0.0020071454
455,2,2.1095461e-06
141,2,2.436716e-06
230,2,2.3193172e-06
498,2,1.9300585e-06
217,2,2.1475703e-06
512,2,2.9742105e-06
342,2,2.3091889e-06
26,2,2.577062e-06
32,2,2.1278074e-06
423,2,2.4286842e-06
218,2,3.0124797e-06
481,2,2.3772795e-06
146,2,7.357508e-06
430,2,2.5714864e-06
223,2,2.5383645e-06
400,2,2.4245414e-06
500,2,4.9364753e-06
397,2,2.1885535e-06
467,2,2.0523414e-06
66,2,2.0161262e-06
100,2,2.3103366e-06
528,2,3.9042875e-06
317,2,2.214235e-06
76,2,2.0059292e-06
225,2,2.2008142e-06
292,2,2.3551536e-06
505,2,2.0098892e-06
221,2,1.9062632e-06
473,2,2.228486e-06
336,2,2.2518452e-06
3,2,2.325403e-06
260,2,1.949144e-06
325,2,2.0866978e-06
60,2,1.8142101e-06
406,2,1.9453907e-06
305,2,2.2669626e-06
453,2,1.8893211e-06
22,2,2.2321954e-06
278,2,2.234221e-06
186,2,3.0455203e-06
349,2,2.1842602e-06
44,2,1.9145164e-06
215,2,2.1878939e-06
412,2,2.0002747e-06
143,2,2.2173838e-06
314,2,2.0363834e-06
465,2,3.455947e-06
200,2,2.353674e-06
468,2,1.969372e-06
45,2,2.2748065e-06
132,2,1.8589587e-06
344,2,1.9417616e-06
519,2,2.008609e-06
537,2,2.0338564e-06
297,2,2.0493294e-06
484,2,2.0059024e-06
177,2,2.0107557e-06
389,2,1.9265e-06
459,2,2.1467306e-06
12,1,0.0014290521
378,2,2.5431377e-06
526,2,2.2646939e-06
164,2,2.4310548e-06
197,2,2.529626e-06
387,2,2.2721053e-06
253,2,1.8681487e-06
482,2,2.2540453e-06
393,2,2.0300893e-06
206,2,2.426994e-06
251,2,1.9873278e-06
318,2,1.8912698e-06
204,2,2.1673054e-06
304,1,7.151951e-05
30,2,1.8191547e-06
252,2,1.8900852e-06
116,1,0.00023098521
306,2,2.3648788e-06
171,2,1.9441336e-06
448,2,2.2289153e-06
307,2,1.9961622e-06
507,1,0.00023595692
20,2,2.4734156e-06
532,1,0.00022632212
170,2,1.8653395e-06
426,2,1.914867e-06
527,2,1.8205761e-06
376,1,0.00023659415
334,2,2.0453951e-06
25,2,2.2086485e-06
154,1,0.00024272533
79,2,2.024699e-06
2,2,2.2516604e-06
234,2,1.9118854e-06
237,2,2.2304293e-06
33,2,2.262755e-06
74,2,1.8849855e-06
352,2,2.3276398e-06
514,1,0.00025921766
265,2,2.056499e-06
126,2,1.8408915e-06
506,2,2.2780719e-06
147,2,2.490246e-06
535,2,2.3131786e-06
128,2,2.40776e-06
173,2,2.3546438e-06
522,2,2.4989415e-06
477,2,3.180587e-06
463,2,2.1148076e-06
424,2,2.1529181e-06
293,2,2.0104546e-06
471,2,2.2781066e-06
219,1,0.0008095035
89,2,2.117524e-06
105,2,1.8292693e-06
384,2,2.2579889e-06
14,2,2.3415216e-06
34,2,1.7856951e-06
159,2,2.0302055e-06
511,2,1.8149906e-06
247,2,1.876355e-06
428,2,2.3183907e-06
43,1,0.00040799336
438,2,1.852886e-06
337,2,4.9439896e-06
145,2,1.7846905e-06
71,2,2.1506812e-06
355,2,1.987121e-06
75,2,2.4768478e-06
359,2,2.2524873e-06
310,2,2.4594601e-06
139,2,2.1458995e-06
362,2,2.0122136e-06
180,2,2.4534631e-06
496,2,2.04184e-06
133,1,0.00020147061
130,2,2.0331117e-06
447,1,0.0003248191
115,2,2.3904015e-06
27,2,2.0660605e-06
4,2,1.9407676e-06
8,2,2.15837e-06
385,2,4.0960545e-06
503,2,2.0548189e-06
95,2,2.2360432e-06
202,2,2.1710207e-06
538,2,1.8961043e-06
134,2,2.1069966e-06
255,2,2.2255742e-06
239,2,3.059269e-06
19,2,2.2200604e-06
181,2,2.3418745e-06
510,2,2.2432928e-06
283,2,2.157697e-06
286,2,2.152526e-06
316,2,1.9616439e-06
31,2,2.4850744e-06
0,1,0.99169827
404,2,2.2961317e-06
269,2,2.0364105e-06
188,2,2.1800024e-06
271,1,0.0003829628
413,2,2.0301957e-06
16,2,2.225538e-06
198,2,2.0084233e-06
311,2,2.5528188e-06
442,2,1.9645327e-06
123,2,2.3731704e-06
290,2,1.9367128e-06
174,2,2.2486495e-06
193,2,1.8700061e-06
509,2,1.8873708e-06
421,2,2.3108105e-06
211,2,2.0438545e-06
431,2,2.2488534e-06
294,2,2.3198857e-06
261,2,1.8365672e-06
92,1,0.00017458391
383,2,2.1616124e-06
136,2,2.2246913e-06
454,2,1.986132e-06
539,2,2.3400103e-06
490,2,2.3433804e-06
131,2,2.0833077e-06
11,2,2.522192e-06
101,2,2.0725254e-06
285,2,2.0301086e-06
466,2,2.2638558e-06
291,1,0.000327392
313,2,1.8246557e-06
122,2,2.3191424e-06
158,2,1.997503e-06
187,2,2.3896812e-06
363,2,2.4305539e-06
169,2,2.4605183e-06
190,2,2.1254934e-06
493,2,3.6930767e-06
333,2,3.8666917e-06
525,1,0.00028100619
415,2,2.4481387e-06
420,2,1.7969307e-06
