Bumps,Dirtiness,K_Scratch,Other_Faults,Pastry,Stains,Z_Scratch
74,0,0,127,0,0,0
2,0,0,25,0,0,0
0,0,180,16,0,0,0
21,0,4,312,0,0,0
5,0,1,73,0,0,0
0,0,0,36,0,0,0
0,0,0,95,0,0,0
