topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.9629139072847682,0.8692673032206994,0.9664311506298975,2,0.445468552077406,0.9072847682119205,0.9782158346470069
8.0,0.9509933774834437,0.8037018038212622,0.9530203257448498,2,0.37646189046875067,0.9271523178807947,0.9862631397481324
16.0,0.9509933774834437,0.8037018038212622,0.9530203257448498,2,0.37646189046875067,0.9271523178807947,0.9855323382072217
32.0,0.9509933774834437,0.8037018038212622,0.9530203257448498,2,0.37646189046875067,0.9271523178807947,0.9841228106092182
64.0,0.9483443708609272,0.7892103172046474,0.9500424476529911,2,0.3666646319003206,0.9298013245033112,0.9824324663352315
