Bumps,Dirtiness,K_Scratch,Other_Faults,Pastry,Stains,Z_Scratch
116,1,0,75,7,0,2
1,23,0,3,0,0,0
0,0,182,14,0,0,0
55,6,7,245,10,4,10
10,0,1,19,48,0,1
0,0,0,5,0,31,0
1,0,0,10,0,0,84
