class,recall
Bumps,0.19753086419753085
Dirtiness,0.7272727272727273
K_Scratch,0.8589743589743589
Other_Faults,0.9037037037037037
Pastry,0.0625
Stains,0.6428571428571429
Z_Scratch,0.5789473684210527
