topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.9793388429752066,0.9111600587371513,0.9806252351306417,2,0.36684821113786265,0.9297520661157025,0.9951561920182475
8.0,0.9783057851239669,0.8979225983338606,0.9787736732892179,2,0.32299998323424484,0.9411157024793388,0.997809304606933
16.0,0.9772727272727273,0.8939759036144579,0.9778552225430648,2,0.3271167634670402,0.9400826446280992,0.9974272948290617
32.0,0.9772727272727273,0.8939759036144579,0.9778552225430648,2,0.3271167634670402,0.9400826446280992,0.9971047557348143
64.0,0.9772727272727273,0.8939759036144579,0.9778552225430648,2,0.3271167634670402,0.9400826446280992,0.9968568983291344
