row_norm_mean,row_norm_std,row_pairwise_cos_mean,train_size,n_rows_total,attn_neff_mean,attn_neff_std,attn_entropy_mean,attn_entropy_std,attn_top1_mass_mean,attn_top1_mass_std,neigh_top1_purity_mean,neigh_top1_purity_std,neigh_top5_purity_mean,neigh_top5_purity_std,M_log_mean,M_log_std,M_min,M_max,source,task_id,dataset_id,dataset_name,n_rows,n_features,n_classes
21.565780639648438,0.09002725780010223,0.8004025220870972,2237.0,3196.0,475.59991455078125,173.02955627441406,6.655858993530273,0.13069617748260498,0.01488896831870079,0.010880962014198303,0.278415015641293,0.44845267590910437,0.30636079249217935,0.42641291499793144,,,,,cc18,3,3,kr-vs-kp,3196.0,36.0,2.0
21.955942153930664,0.17843367159366608,0.5496416687965393,437.0,625.0,154.06964111328125,54.72441482543945,5.180943965911865,0.346731036901474,0.020437071099877357,0.008384998887777328,0.4734042553191489,0.5006253911137396,0.5893617021276596,0.38123584153077145,,,,,cc18,11,11,balance-scale,625.0,4.0,3.0
21.731828689575195,0.24909351766109467,0.6053158640861511,1400.0,2000.0,283.4042053222656,153.93165588378906,6.107399940490723,0.3965241611003876,0.02055990695953369,0.014790438115596771,0.3883333333333333,0.48777771650971097,0.5383333333333333,0.4036526328030538,,,,,cc18,12,12,mfeat-factors,2000.0,216.0,10.0
21.856807708740234,0.24811558425426483,0.481027215719223,1400.0,2000.0,523.141845703125,213.93234252929688,6.574923992156982,0.3102494478225708,0.008963572792708874,0.005644718650728464,0.385,0.4870013180745447,0.4033333333333333,0.4121553213337521,,,,,cc18,14,14,mfeat-fourier,2000.0,76.0,10.0
21.710060119628906,0.18765749037265778,0.7337329983711243,489.0,699.0,89.20071411132812,38.23512268066406,5.238984107971191,0.19718298316001892,0.07571375370025635,0.04824499413371086,0.34285714285714286,0.4757984259890063,0.4342857142857144,0.41267677295154115,,,,,cc18,15,15,breast-w,699.0,9.0,2.0
21.533105850219727,0.2024056613445282,0.7399609088897705,1400.0,2000.0,328.9340515136719,154.42770385742188,6.226130485534668,0.3488626182079315,0.016303107142448425,0.01289004273712635,0.49,0.5003170947764454,0.5630000000000001,0.4199105557036151,,,,,cc18,16,16,mfeat-karhunen,2000.0,64.0,10.0
21.93467903137207,0.27706286311149597,0.5236209630966187,1400.0,2000.0,276.7405700683594,131.72598266601562,6.030597686767578,0.42869383096694946,0.024340175092220306,0.024597743526101112,0.10833333333333334,0.31106026163135303,0.27599999999999997,0.37209509259043333,,,,,cc18,18,18,mfeat-morphological,2000.0,6.0,10.0
21.831623077392578,0.2435486614704132,0.49921026825904846,1400.0,2000.0,344.45703125,153.85177612304688,6.204846382141113,0.3792579472064972,0.013028334826231003,0.006849387660622597,0.38166666666666665,0.4862007893537085,0.49366666666666664,0.4104965301001491,,,,,cc18,22,22,mfeat-zernike,2000.0,47.0,10.0
21.720048904418945,0.13067220151424408,0.6395567655563354,1031.0,1473.0,567.911865234375,191.84376525878906,6.511463165283203,0.3080497682094574,0.006622279994189739,0.004077396355569363,0.2692307692307692,0.4440627176331033,0.31176470588235294,0.381543658784623,,,,,cc18,23,23,cmc,1473.0,9.0,3.0
21.598299026489258,0.18203960359096527,0.7532014846801758,3934.0,5620.0,772.6399536132812,520.7860717773438,7.010873794555664,0.5179195404052734,0.011634141206741333,0.010571886785328388,0.3238434163701068,0.4680799182707808,0.45646500593119804,0.3956923327748781,,,,,cc18,28,28,optdigits,5620.0,64.0,10.0
21.672239303588867,0.1184360533952713,0.6928164958953857,483.0,690.0,210.95175170898438,72.18099212646484,5.590401649475098,0.26677918434143066,0.02227139286696911,0.014359408058226109,0.18357487922705315,0.38807562688401004,0.1845410628019324,0.3694034248568256,,,,,cc18,29,29,credit-approval,690.0,15.0,2.0
21.659059524536133,0.143092080950737,0.6500061750411987,700.0,1000.0,480.6284484863281,75.03845977783203,6.343053817749023,0.11023054271936417,0.007602475583553314,0.0024089673534035683,0.2966666666666667,0.4575515273966042,0.31399999999999995,0.4538250661162862,,,,,cc18,31,31,credit-g,1000.0,20.0,2.0
21.66443634033203,0.18781132996082306,0.6792018413543701,7694.0,10992.0,1355.640380859375,1064.1605224609375,7.635284423828125,0.5098989605903625,0.013482715934515,0.01474491786211729,0.19860521528198907,0.3990105992232251,0.34360218314129776,0.36481181077875824,,,,,cc18,32,32,pendigits,10992.0,16.0,10.0
21.75513458251953,0.1442834883928299,0.5932374596595764,537.0,768.0,270.5517578125,95.40225982666016,5.822054862976074,0.34963753819465637,0.015649931505322456,0.008626407012343407,0.341991341991342,0.47540684628003654,0.3463203463203463,0.4672508510442957,,,,,cc18,37,37,diabetes,768.0,8.0,2.0
21.689271926879883,0.13337060809135437,0.7635250687599182,3220.0,4601.0,379.5618591308594,240.29342651367188,6.752739429473877,0.32174789905548096,0.02685016766190529,0.011914657428860664,0.06154960173787111,0.2404227614864768,0.08979000724112962,0.2504286746530401,,,,,cc18,43,44,spambase,4601.0,57.0,2.0
21.410017013549805,0.10665213316679001,0.8255727291107178,2233.0,3190.0,609.8104248046875,198.8251190185547,6.791050434112549,0.29354754090309143,0.013041016645729542,0.006475548259913921,0.054336468129571575,0.22679895355107862,0.26854754440961337,0.2980818754705266,,,,,cc18,45,46,splice,3190.0,60.0,3.0
21.70511817932129,0.0936485305428505,0.6647669076919556,670.0,958.0,384.2179260253906,63.705326080322266,6.1201066970825195,0.12226878851652145,0.008139166049659252,0.0032196692191064358,0.3923611111111111,0.48912634354101137,0.44861111111111107,0.440301782968423,,,,,cc18,49,50,tic-tac-toe,958.0,9.0,2.0
