topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.9749664729548503,0.799089042853477,0.9783277234106815,2,0.2474335621019607,0.9588734912829683,0.9580932319577103
8.0,0.97362539114886,0.7274728315296731,0.9744358652397981,2,0.17587134533369564,0.97362539114886,0.9717146992745243
16.0,0.9727313366115333,0.7230946868157624,0.9737891190259222,2,0.18050371175555394,0.9727313366115333,0.9712881432054234
32.0,0.9722843093428699,0.7209600836954773,0.9734681257613692,2,0.1828035028494646,0.9722843093428699,0.9708372203034715
64.0,0.9718372820742065,0.7188605284419043,0.9731486601561837,2,0.18509259497513816,0.9718372820742065,0.9704135745439572
