topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.9788806758183738,0.6374980860511408,0.9840812811031848,2,0.15348588603086355,0.9778247096092925,0.9157284015841725
8.0,0.9904963041182682,0.676177811550152,0.9904963041182682,2,0.06295724247418968,0.9926082365364308,0.960809885327442
16.0,0.9899683210137276,0.6698865252130519,0.9901399466415027,2,0.06666285926330992,0.9920802534318902,0.9594378022877827
32.0,0.989440337909187,0.6848375931842385,0.9900946939665981,2,0.07748470992202393,0.9904963041182682,0.9567563828044878
64.0,0.9857444561774024,0.6502451935900856,0.9877339396752247,2,0.10132650227193919,0.9868004223864836,0.9542144949670173
