topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.5758354755784062,0.2820042214097823,0.48922460366017245,3,0.35660627954863117,0.7557840616966581,0.22169899939949278
8.0,0.7789203084832905,0.8043246893412397,0.7796433431496653,7,0.8436931336154546,0.390745501285347,0.8971461119015274
16.0,0.7840616966580977,0.8073438031595562,0.7851271347891379,7,0.8469304133342623,0.38303341902313626,0.8922407606575423
32.0,0.7840616966580977,0.8073438031595562,0.7851271347891379,7,0.8469304133342623,0.38303341902313626,0.8902460526943318
64.0,0.781491002570694,0.8056999021838112,0.7823674176797665,7,0.8458799257578158,0.3856041131105398,0.8695212799055919
