topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.5837974683544304,0.3771473554590888,0.5010798861337167,4,0.5789629193815626,0.47848101265822784,0.1867931233580216
8.0,0.6764556962025317,0.6314474825738203,0.666890220302233,5,0.8767245099694432,0.3615189873417721,0.7863279482125558
16.0,0.6764556962025317,0.6316483971697202,0.6668782829906461,5,0.8761215954359288,0.3620253164556962,0.7832492954355706
32.0,0.6759493670886076,0.6307900146983805,0.6662374735003683,5,0.8763409736966692,0.3615189873417721,0.7803949537723572
64.0,0.6759493670886076,0.6302615161278914,0.6661136220946267,5,0.8753445556683733,0.3615189873417721,0.7762186792519713
