topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.5858227848101266,0.37230503713689855,0.4990590113984318,4,0.5753041941154634,0.490126582278481,0.20181614648050547
8.0,0.6840506329113925,0.6424470530082397,0.6736079547908376,5,0.8756414793500157,0.35037974683544304,0.8118770823672842
16.0,0.6845569620253165,0.6439281497413142,0.6743217681409699,5,0.8768662576739867,0.349873417721519,0.8088613735681701
32.0,0.6840506329113925,0.6429731469619036,0.6737281216524671,5,0.8763671242429362,0.35037974683544304,0.8059828807390981
64.0,0.6845569620253165,0.6427733183866211,0.6740819998628009,5,0.875643762379063,0.349873417721519,0.8030920868549848
