Bumps,Dirtiness,K_Scratch,Other_Faults,Pastry,Stains,Z_Scratch
48,0,0,29,3,0,1
0,8,0,2,1,0,0
0,0,75,2,0,0,1
8,2,3,109,7,1,5
3,0,0,9,20,0,0
0,0,0,0,0,14,0
0,0,0,5,0,0,33
