Bumps,Dirtiness,K_Scratch,Other_Faults,Pastry,Stains,Z_Scratch
116,1,0,73,9,0,2
0,25,0,2,0,0,0
0,0,182,14,0,0,0
50,6,6,239,18,5,13
11,1,1,13,53,0,0
0,0,0,4,0,32,0
1,0,0,6,0,0,88
