topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.9191333536771438,0.6185263181939583,0.9179966478021644,2,0.3050922340268221,0.9455294476655478,0.4519484253944248
8.0,0.9174549893194995,0.6169649183510966,0.9169891132404788,2,0.31320504587625203,0.9435459261519683,0.47322167167284757
16.0,0.9174549893194995,0.6179231554118935,0.9170936722701539,2,0.3144436231280933,0.9432407689960329,0.47206450935663874
32.0,0.9169972535855966,0.6172401339958407,0.9167905245376036,2,0.31629678788496834,0.94278303326213,0.4708146334247515
64.0,0.9166920964296613,0.6177364254964588,0.9166920964296613,2,0.3187589646588488,0.9421727189502593,0.4692745496970233
