anchor_index,anchor_label,weight
5830,-1,8.244105e-06
7929,-1,5.215153e-05
6508,-1,9.577796e-06
8844,-1,7.742523e-06
4973,-1,1.0189242e-05
7394,-1,5.215153e-05
10571,-1,9.731844e-06
10836,-1,5.215153e-05
3736,-1,8.2967845e-06
1887,-1,8.755333e-06
9595,-1,5.215153e-05
2385,-1,9.8169685e-06
8704,-1,9.158583e-06
7233,-1,5.215153e-05
974,-1,0.00017396953
312,-1,5.215153e-05
10142,-1,5.215153e-05
8723,-1,7.881441e-06
5580,1,0.0041231294
5137,-1,8.777947e-06
378,-1,2.3184348e-05
5674,-1,9.918311e-06
2037,-1,5.215153e-05
6158,-1,1.0103037e-05
5635,-1,8.610925e-06
4091,-1,5.22221e-05
10023,-1,5.1950687e-05
8888,-1,8.403291e-06
6629,-1,5.1950687e-05
2440,-1,1.0926458e-05
10226,-1,1.002237e-05
1839,-1,1.1061382e-05
2366,-1,5.1950687e-05
10475,-1,7.806725e-06
2198,-1,8.623376e-06
269,-1,8.563713e-06
6821,-1,8.077506e-06
507,-1,8.33149e-06
1914,-1,5.1950687e-05
10792,-1,7.615148e-05
3321,-1,9.841435e-06
8736,-1,5.1950687e-05
2940,-1,1.1010485e-05
4881,-1,8.090025e-06
4459,1,0.0035006937
4656,-1,1.2355985e-05
9376,-1,5.1950687e-05
5658,-1,5.1950687e-05
675,-1,8.237166e-06
10125,-1,8.288243e-06
4094,-1,1.0411562e-05
5659,-1,8.017017e-06
3515,-1,9.304266e-06
3862,-1,8.262941e-06
1014,-1,5.215265e-05
4460,1,0.0043779192
4087,-1,7.996674e-06
7838,-1,5.215265e-05
1569,-1,5.215265e-05
5542,-1,0.00017878764
11019,-1,8.495312e-06
9763,-1,1.2147671e-05
9687,-1,5.215265e-05
2553,-1,5.215265e-05
7553,-1,5.215265e-05
6730,-1,4.6129462e-05
1830,-1,5.215265e-05
2481,-1,7.827793e-06
7447,-1,9.528517e-06
5937,-1,5.215265e-05
2697,-1,8.098988e-06
4242,-1,5.215265e-05
4068,-1,5.215265e-05
6774,-1,8.7961735e-06
10083,-1,9.915056e-06
1932,-1,7.6136007e-06
1148,-1,5.231806e-05
2121,-1,5.1917825e-05
7117,-1,8.143265e-06
8826,-1,7.7035975e-06
8647,-1,8.540632e-06
785,-1,5.1917825e-05
5874,-1,8.677659e-06
8511,-1,5.1917825e-05
2990,-1,5.1917825e-05
2063,-1,8.919939e-06
7616,-1,7.983971e-06
8648,-1,5.1917825e-05
6753,-1,6.464226e-05
5085,-1,1.217315e-05
8807,-1,8.396418e-06
439,-1,8.449312e-06
7777,-1,5.1917825e-05
9050,-1,8.683354e-06
9842,-1,8.458278e-06
6082,-1,1.0027694e-05
3177,-1,9.806872e-06
212,-1,7.765876e-06
146,-1,1.2109351e-05
10316,-1,8.624387e-06
3900,-1,8.518538e-06
429,-1,8.151891e-06
7310,-1,9.2942e-06
10939,-1,7.909361e-06
3951,-1,9.600137e-06
7528,-1,8.818159e-05
10387,-1,9.219093e-06
4995,-1,8.479463e-06
758,-1,9.985924e-06
7954,-1,7.853582e-06
1135,-1,9.819797e-06
10274,-1,8.678271e-06
2128,-1,5.215153e-05
1883,-1,8.364298e-06
10072,-1,8.990037e-06
9195,-1,7.951745e-06
6294,-1,8.67521e-06
7544,-1,2.8639375e-05
2205,-1,9.276029e-06
1320,-1,8.27436e-06
6702,1,0.0035000588
11128,-1,8.935733e-06
10128,-1,9.097456e-06
3696,-1,8.730669e-06
2353,-1,5.215153e-05
5786,-1,5.215153e-05
826,-1,7.92775e-06
7035,-1,8.739074e-06
4643,-1,9.553202e-06
2863,-1,2.5542664e-05
4315,-1,8.8138495e-06
6064,-1,8.93143e-06
10393,-1,5.216113e-05
5346,-1,9.655596e-06
4962,-1,9.704014e-06
5816,-1,5.216113e-05
927,-1,5.216113e-05
9203,-1,9.2440705e-06
8461,-1,9.696539e-06
6988,-1,2.3135392e-05
3679,-1,5.216113e-05
1559,-1,1.4296068e-05
2009,-1,4.1038467e-05
3890,-1,7.8295025e-06
6770,-1,7.8286885e-06
9794,-1,5.216113e-05
6200,-1,3.6313835e-05
4547,-1,5.216113e-05
10932,-1,8.331633e-06
233,-1,8.675929e-06
6163,-1,9.505219e-06
4454,1,0.005933409
3844,-1,1.0066433e-05
8816,-1,9.044979e-06
2822,-1,8.216336e-06
7351,-1,5.228357e-05
3246,-1,8.8998e-06
3221,-1,9.811381e-06
66,-1,8.38927e-06
406,-1,8.199155e-06
3342,1,0.004945318
3978,-1,9.223245e-06
10793,-1,7.974451e-06
3692,-1,5.228357e-05
3359,-1,8.8465995e-06
3830,-1,5.228357e-05
3305,-1,5.012174e-05
2968,-1,8.9681225e-06
6295,-1,5.228357e-05
1369,-1,9.486147e-06
198,-1,9.335757e-06
572,-1,9.673033e-06
6539,-1,7.9955e-06
5777,-1,8.944659e-06
3488,-1,5.228357e-05
5064,-1,8.57535e-06
7213,-1,5.228357e-05
939,-1,9.198411e-06
4109,-1,8.2142915e-06
10150,-1,5.216108e-05
1208,-1,5.216113e-05
10105,-1,8.569596e-06
5687,-1,5.216113e-05
7150,-1,1.1503499e-05
5336,-1,7.8464705e-05
2695,-1,7.973592e-06
3613,-1,8.286924e-06
2665,-1,5.216113e-05
5283,-1,8.621533e-06
2211,-1,5.216113e-05
6405,-1,8.889783e-06
9341,-1,5.216113e-05
2858,-1,5.216113e-05
6635,-1,8.515582e-06
1740,-1,5.2870746e-05
3841,-1,2.1930045e-05
1616,-1,5.216113e-05
3588,-1,5.216113e-05
8601,-1,1.1038104e-05
1013,-1,8.445099e-06
10730,-1,7.762951e-06
1307,-1,1.0254056e-05
3592,-1,8.985785e-06
10989,-1,8.711323e-06
2497,-1,8.380626e-06
11085,-1,1.0191253e-05
138,-1,9.7467155e-06
9851,-1,5.228439e-05
6244,-1,3.9435123e-05
7502,-1,1.0187483e-05
6063,-1,5.228439e-05
4689,-1,5.228439e-05
10648,-1,5.228439e-05
2764,-1,5.228439e-05
10250,-1,0.00059186714
4220,-1,2.073066e-05
6717,-1,7.929852e-06
4382,-1,8.39701e-06
5199,-1,7.782016e-06
1966,-1,0.00012847157
9729,-1,1.0620902e-05
5798,-1,1.6862428e-05
2223,1,0.0060257115
6951,-1,4.1006137e-05
2705,-1,5.228439e-05
5448,-1,8.408237e-06
8557,-1,5.228439e-05
6068,-1,8.587405e-06
6036,-1,7.7270915e-06
1069,-1,5.228439e-05
2495,-1,9.461988e-06
2888,-1,8.683437e-06
4922,-1,9.482684e-06
6846,-1,1.0038966e-05
5624,-1,8.853385e-06
9964,-1,9.412793e-06
4081,-1,5.216113e-05
3758,-1,8.644265e-06
10220,-1,5.216113e-05
7498,-1,5.216113e-05
5410,-1,9.148867e-06
4484,-1,9.39646e-06
6058,-1,1.0059072e-05
393,-1,5.216113e-05
8465,-1,5.216113e-05
3706,-1,5.216113e-05
787,-1,9.324421e-06
6841,-1,0.0002573063
1443,-1,9.372868e-06
4767,-1,1.0576781e-05
8903,-1,5.216113e-05
3922,-1,8.4818e-06
5630,-1,8.419037e-06
396,-1,2.1577836e-05
2873,-1,8.57787e-06
5424,-1,5.216113e-05
10477,-1,5.2535775e-05
10766,-1,8.170859e-06
2847,-1,5.228474e-05
867,-1,5.228474e-05
10439,-1,5.228474e-05
3973,-1,5.228474e-05
1453,-1,9.841285e-06
6546,-1,9.101266e-06
7128,-1,8.122619e-06
8841,-1,5.228474e-05
5708,-1,8.6408445e-06
4297,-1,8.754764e-06
361,-1,9.342784e-06
9784,-1,0.00014841542
4365,-1,5.228474e-05
621,-1,8.993457e-06
1070,-1,8.148245e-06
6904,-1,1.0121958e-05
4163,-1,1.1088125e-05
1354,-1,8.4500225e-06
1910,-1,1.061011e-05
7542,-1,8.744985e-06
8849,-1,5.228474e-05
10396,-1,9.405076e-06
7171,-1,8.3432415e-06
9746,-1,4.431616e-05
4630,-1,1.4492035e-05
7900,-1,8.3820405e-06
9123,-1,5.2160933e-05
4154,-1,5.2160933e-05
2785,-1,9.285208e-06
424,-1,1.4090538e-05
2959,-1,9.205028e-06
6323,-1,9.003473e-06
4272,-1,3.554181e-05
1164,-1,5.2160933e-05
3051,-1,8.757887e-06
6520,-1,1.1757354e-05
1437,-1,8.37862e-06
2632,-1,9.657207e-06
5790,-1,7.81658e-06
10838,-1,8.695752e-06
3827,-1,9.788941e-06
6943,-1,9.048539e-05
5711,-1,9.840636e-06
3931,-1,8.669338e-06
7926,-1,9.106155e-06
8415,-1,1.1208744e-05
1352,-1,5.2160933e-05
1405,-1,8.868021e-06
10655,-1,1.4430423e-05
5160,-1,9.192527e-06
7441,-1,8.178171e-06
6215,-1,9.816716e-06
1242,-1,8.453246e-06
9506,-1,5.2284217e-05
2966,-1,9.106866e-06
5858,-1,9.1731035e-06
8471,-1,1.6415841e-05
3043,-1,5.2284217e-05
10801,-1,8.203464e-06
8656,-1,5.2284217e-05
8347,-1,5.2284217e-05
4182,-1,5.2284217e-05
6976,-1,8.6874215e-06
7736,-1,1.0261609e-05
