Bumps,Dirtiness,K_Scratch,Other_Faults,Pastry,Stains,Z_Scratch
135,3,1,51,10,0,1
0,22,0,4,1,0,0
1,0,185,9,1,0,0
45,5,9,243,29,2,4
5,0,0,26,48,0,0
0,0,0,0,0,36,0
0,0,1,12,2,0,80
