topk,score,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,margin_median
,0.6320901320901321,0.9831045406546991,0.6320901320901321,0.9861403409449873,2,0.117395012773647,0.9350823400118746
8.0,0.5978768577494692,0.9915522703273495,0.5978768577494692,0.989871692258714,2,0.030863776925891283,0.9728603362166368
16.0,0.5978768577494692,0.9915522703273495,0.5978768577494692,0.989871692258714,2,0.030863776925891283,0.970586201021843
32.0,0.5978768577494692,0.9915522703273495,0.5978768577494692,0.989871692258714,2,0.030863776925891283,0.9688796984287458
64.0,0.7484059511158343,0.9936642027455121,0.7484059511158343,0.9931395861644862,2,0.04754050817199787,0.9670908254838726
128.0,0.7484059511158343,0.9936642027455121,0.7484059511158343,0.9931395861644862,2,0.04754050817199787,0.9653245038054006
