Bumps,Dirtiness,K_Scratch,Other_Faults,Pastry,Stains,Z_Scratch
116,1,0,73,9,0,2
1,23,0,3,0,0,0
0,0,182,14,0,0,0
49,4,6,241,20,4,13
11,0,1,15,52,0,0
0,0,0,5,0,31,0
1,0,0,6,0,0,88
