topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.9757127771911299,0.6453356781137545,0.9825805724673554,2,0.18146428133766856,0.9725448785638859,0.8903126030194527
8.0,0.9799366420274551,0.6149170679507758,0.9842915393320575,2,0.13583047124932884,0.9809926082365364,0.9204205338840963
16.0,0.9799366420274551,0.6149170679507758,0.9842915393320575,2,0.13583047124932884,0.9809926082365364,0.9204205569416084
32.0,0.9794086589229145,0.6124289694470242,0.9839884380102425,2,0.13882380126123214,0.9804646251319957,0.9203156969605585
64.0,0.9794086589229145,0.6124289694470242,0.9839884380102425,2,0.13882380126123214,0.9804646251319957,0.9196778183746094
