Bumps,Dirtiness,K_Scratch,Other_Faults,Pastry,Stains,Z_Scratch
53,0,0,25,3,0,0
1,9,0,1,0,0,0
0,0,77,1,0,0,0
11,1,3,114,5,0,1
3,0,0,8,21,0,0
0,0,0,0,0,14,0
0,0,0,4,1,0,33
