topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.9824380165289256,0.9226775301541656,0.9833509264265424,2,0.3551921483158501,0.9328512396694215,0.992163628289686
8.0,0.9824380165289256,0.9173659129369348,0.9828167831388908,2,0.32299998323424484,0.9411157024793388,0.9945337157886389
16.0,0.981404958677686,0.9132530120481928,0.981881545717053,2,0.3271167634670402,0.9400826446280992,0.9944421156911936
32.0,0.981404958677686,0.9132530120481928,0.981881545717053,2,0.3271167634670402,0.9400826446280992,0.994342315391435
64.0,0.9803719008264463,0.9092089349623595,0.9809531619245194,2,0.33120620830270203,0.9390495867768595,0.9941862907408233
