topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.5938303341902313,0.2923952327156599,0.505271810571765,3,0.3756334646880802,0.7326478149100257,0.21835178172760294
8.0,0.8123393316195373,0.8326313311624954,0.8115879777690023,7,0.8479979849260086,0.3676092544987147,0.9387828250870983
16.0,0.8149100257069408,0.834674791851482,0.813925368396938,7,0.8459947227082345,0.37017994858611825,0.9347339308890994
32.0,0.8149100257069408,0.834674791851482,0.813925368396938,7,0.8459947227082345,0.37017994858611825,0.9322920668593854
64.0,0.8149100257069408,0.834674791851482,0.813925368396938,7,0.8459947227082345,0.37017994858611825,0.9063873255453325
