topk,score,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,margin_median
,0.4491607712581495,0.9017341040462428,0.4491607712581495,0.8684840801919886,2,0.43741917849114154,0.9389984181182841
8.0,0.8931719795356159,0.9653179190751445,0.8931719795356159,0.9653179190751445,4,0.6144710193302111,0.9996520075788403
16.0,0.8931719795356159,0.9653179190751445,0.8931719795356159,0.9653179190751445,4,0.6144710193302111,0.9996492140128804
32.0,0.8931719795356159,0.9653179190751445,0.8931719795356159,0.9653179190751445,4,0.6144710193302111,0.9996447637908153
64.0,0.838642232084855,0.953757225433526,0.838642232084855,0.9514459134472399,4,0.5751771595665763,0.999636662294808
128.0,0.4693452380952381,0.9075144508670521,0.4693452380952381,0.8692953481970822,2,0.3998119607602296,0.9996238294576002
