C,calinski_harabasz,calinski_harabasz_pcaK,coverage_ok,davies_bouldin,davies_bouldin_pcaK,episode,knn1_acc,knn5_acc,lda_acc,logreg_acc,logreg_auc_macro,maj_acc,n_anchor,n_query,nc_acc,perm_format,raw_calinski_harabasz,raw_calinski_harabasz_pcaK,raw_davies_bouldin,raw_davies_bouldin_pcaK,raw_knn1_acc,raw_knn5_acc,raw_lda_acc,raw_logreg_acc,raw_logreg_auc_macro,raw_nc_acc,raw_silhouette_cosine,raw_silhouette_euclidean,silhouette_cosine,silhouette_euclidean,uniform_acc
2,1.5583124160766602,1.626734733581543,True,8.296144641677264,8.084052053726067,0,0.8511627906976744,0.8976744186046511,0.7069767441860465,0.9023255813953488,,0.9023255813953488,113,215,0.8,list,1.3564108610153198,1.4581619501113892,8.927639705704506,8.603301750236138,0.827906976744186,0.9023255813953488,0.8651162790697674,0.8651162790697674,,0.5581395348837209,0.0010329135693609715,0.01663246937096119,0.013966532424092293,0.007448138203471899,0.5
2,1.4542200565338135,1.7980904579162598,True,14.143852423418286,12.713903297161673,1,0.4329896907216495,0.4845360824742268,0.5979381443298969,0.5773195876288659,,0.5670103092783505,200,97,0.5154639175257731,list,1.8341028690338135,1.748732089996338,12.428170301881755,12.735494432044403,0.3917525773195876,0.4329896907216495,0.5567010309278351,0.5463917525773195,,0.5360824742268041,0.005487729329615831,0.002683639992028475,0.0033649038523435593,0.0018264157697558403,0.5
2,0.8135260343551636,0.9172165393829346,True,20.914272126024883,19.654338550325484,2,0.5278810408921933,0.5687732342007435,0.5799256505576208,0.5910780669144982,,0.6059479553903345,105,269,0.5464684014869888,list,0.8024843335151672,0.7648804187774658,20.80827572611072,21.329821932008294,0.5427509293680297,0.5353159851301115,0.5724907063197026,0.5799256505576208,,0.5353159851301115,-0.0005833003087900579,-0.0013169765006750822,0.0003427232149988413,0.0002643140614964068,0.5
2,0.8561943769454956,0.870158314704895,True,11.609027669283511,11.487308244311247,3,0.46,0.53,0.51,0.55,,0.6,21,100,0.52,list,0.9375011324882507,0.9260967969894409,10.977381315159866,11.086651791319332,0.45,0.5,0.52,0.54,,0.48,0.0019233323400840163,0.0025302954018115997,0.0014205825282260776,0.0009489759686402977,0.5
2,4.024037837982178,3.064929485321045,True,8.758945647131588,10.011119273200046,4,0.6936936936936937,0.6756756756756757,0.6486486486486487,0.6576576576576577,,0.6576576576576577,220,111,0.5765765765765766,list,4.339041233062744,4.224819183349609,8.1444865983175,8.272856854651431,0.6666666666666666,0.6396396396396397,0.6486486486486487,0.6576576576576577,,0.5585585585585585,0.019104894250631332,0.008829162456095219,0.01617138274013996,0.009058792144060135,0.5
3,1.0505908727645874,1.1917692422866821,True,14.753866265314104,13.946391206938996,5,0.32793522267206476,0.3360323886639676,0.29554655870445345,0.3724696356275304,0.4905111155752245,0.3967611336032389,70,247,0.3319838056680162,list,1.17355215549469,1.2090497016906738,13.650402805506731,13.72773388114944,0.32793522267206476,0.3319838056680162,0.3360323886639676,0.3157894736842105,0.5128759921589555,0.32388663967611336,-0.00997038371860981,-0.00591675378382206,-0.0063925753347575665,-0.0032512687612324953,0.3333333333333333
2,0.7152884006500244,0.7530111074447632,True,15.037286637507584,14.637399856304437,6,0.6298701298701299,0.7727272727272727,0.512987012987013,0.8311688311688312,,0.8311688311688312,100,154,0.5194805194805194,list,0.5707614421844482,0.5989923477172852,16.72850096615938,16.3774163790466,0.6428571428571429,0.7597402597402597,0.6298701298701299,0.6233766233766234,,0.43506493506493504,-0.0046999785117805,0.00020366531680338085,0.004414709750562906,0.002313620876520872,0.5
2,1.194859266281128,1.2418748140335083,True,13.641552092214724,13.354833823865315,7,0.6741573033707865,0.702247191011236,0.6797752808988764,0.7247191011235955,,0.7247191011235955,122,178,0.6123595505617978,list,1.3054180145263672,1.2748607397079468,13.034602445258521,13.164328269799542,0.6629213483146067,0.6966292134831461,0.6741573033707865,0.6685393258426966,,0.5224719101123596,0.003015103517100215,0.004634342156350613,0.0006325400318019092,0.0004467509570531547,0.5
2,0.6829402446746826,0.7533256411552429,True,18.37556526269334,17.46752725602319,8,0.5673758865248227,0.6312056737588653,0.524822695035461,0.7092198581560284,,0.7092198581560284,134,141,0.5602836879432624,list,0.719569742679596,0.7619906663894653,17.727120537626906,17.20092112930828,0.5673758865248227,0.6028368794326241,0.574468085106383,0.5673758865248227,,0.5035460992907801,-0.0013325983891263604,-0.004843469243496656,-0.0030937937553972006,-0.0016035358421504498,0.5
2,1.3784362077713013,1.0686246156692505,True,11.925190632698726,13.531684564800443,9,0.36666666666666664,0.23333333333333334,0.4666666666666667,0.5,,0.5,169,30,0.5333333333333333,list,1.9964290857315063,1.1604087352752686,7.63866926481796,9.518821786856163,0.6333333333333333,0.6,0.6,0.6,,0.6,0.007036501541733742,0.007109018042683601,0.002888684393838048,0.0013743321178480983,0.5
