topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.912,0.6339710144927536,0.8746963478260871,2,0.6285683707874675,0.536,0.8268134530994307
8.0,0.936,0.8653871262566915,0.9408350959655307,3,0.8791698764884821,0.456,0.9994123048732017
16.0,0.936,0.8653871262566915,0.9408350959655307,3,0.8791698764884821,0.456,0.9993765917032252
32.0,0.936,0.8653871262566915,0.9408350959655307,3,0.8791698764884821,0.456,0.9993341716348689
64.0,0.936,0.8653871262566915,0.9408350959655307,3,0.8791698764884821,0.456,0.9992831685993163
