Bumps,Dirtiness,K_Scratch,Other_Faults,Pastry,Stains,Z_Scratch
0,0,0,201,0,0,0
0,0,0,27,0,0,0
0,0,146,50,0,0,0
0,0,1,336,0,0,0
0,0,0,79,0,0,0
0,0,0,17,0,19,0
0,0,0,90,0,0,5
