topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.9219653179190751,0.462707182320442,0.8887682432216651,2,0.4409981685768515,0.6994219653179191,0.9383321725227496
8.0,1.0,1.0,1.0,4,0.604140483329056,0.6994219653179191,0.999383565092951
16.0,1.0,1.0,1.0,4,0.604140483329056,0.6994219653179191,0.9993588112193473
32.0,1.0,1.0,1.0,4,0.604140483329056,0.6994219653179191,0.9993328844048344
64.0,1.0,1.0,1.0,4,0.604140483329056,0.6994219653179191,0.9992953916452657
