topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.9587868233928313,0.5457017902243352,0.9664563370203698,2,0.20467289345223705,0.9679291829923088,0.4491319472664994
8.0,0.9666231316209549,0.5457601645309287,0.9704301236344332,2,0.15836631086073596,0.976926425772747,0.5236751015823324
16.0,0.9660426643447976,0.5447812683499706,0.9701097527960978,2,0.16149242375975678,0.9763459584965898,0.5207707165374149
32.0,0.9657524307067189,0.5443012010921465,0.9699497720609609,2,0.16304755493751327,0.9760557248585111,0.5173964027690088
64.0,0.9656073138876796,0.5440634504976961,0.9698698310695584,2,0.16382316669175,0.9759106080394718,0.5130762427327867
