topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.9807778274474743,0.8357856819714391,0.982916151191412,2,0.22884934784945507,0.9628967367009388,0.8862025349544829
8.0,0.978095663835494,0.7736638770331183,0.9787687694364424,2,0.17587134533369564,0.97362539114886,0.908574578567062
16.0,0.9776486365668305,0.7710543983755813,0.9784264031106092,2,0.17819305128252647,0.9731783638801967,0.9082473371963902
32.0,0.9772016092981672,0.7644256679324293,0.9779021885971134,2,0.17587134533369564,0.97362539114886,0.9080837341384065
64.0,0.9767545820295038,0.7618965743106045,0.9775634592350337,2,0.17819305128252647,0.9731783638801967,0.9080019411558898
