topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.48366013071895425,0.1871635280340974,0.35399278173444265,3,0.26536285915900626,0.8333333333333334,0.25187686234061435
8.0,0.5866013071895425,0.483488292454951,0.5714025054663163,6,0.8037969683656833,0.5073529411764706,0.7325247224505659
16.0,0.5857843137254902,0.4816535275525545,0.5704319817366683,6,0.8032082084092591,0.5073529411764706,0.7293056441989345
32.0,0.5857843137254902,0.4815795753933485,0.5704620755466818,6,0.8033783534545808,0.5073529411764706,0.7258062730235619
64.0,0.5857843137254902,0.48075908470979245,0.5702620088416228,6,0.8028025508495863,0.5081699346405228,0.7194136093758878
