0,1,2,3,4,5,6,7,8,9
570,0,0,0,0,0,0,0,0,1
0,567,2,0,0,0,0,2,0,0
0,2,569,0,0,0,0,1,0,0
0,0,1,525,0,0,0,1,0,1
0,0,1,0,571,0,0,0,0,0
0,0,0,0,0,527,0,0,0,1
0,1,0,0,0,1,526,0,0,0
0,0,0,0,0,0,0,571,0,0
0,0,0,0,0,0,0,1,527,0
0,1,0,1,0,1,0,1,0,523
