topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.9931362196409715,0.8012992777307025,0.9936516332409454,2,0.08100307414694173,0.9899683210137276,0.8753962607898123
8.0,0.9931362196409715,0.5649438996377772,0.9901737395132219,2,0.006509786024290988,0.9994720168954594,0.9315142733029806
16.0,0.9931362196409715,0.5649438996377772,0.9901737395132219,2,0.006509786024290988,0.9994720168954594,0.9305478222050342
32.0,0.9931362196409715,0.5649438996377772,0.9901737395132219,2,0.006509786024290988,0.9994720168954594,0.9278076401887743
64.0,0.9936642027455121,0.6234093319194062,0.9912983569255371,2,0.011963203452473873,0.9989440337909187,0.9240851316229145
