topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.9166666666666666,0.6316786661614249,0.9016672982190224,2,0.22853814395352803,0.9629629629629629,0.9001188170371769
8.0,0.9166666666666666,0.5689578713968958,0.8915742793791575,2,0.13303964861069892,0.9814814814814815,0.8984514526846928
16.0,0.9259259259259259,0.6470588235294118,0.9084967320261439,2,0.1831220683013728,0.9722222222222222,0.8977846893716357
32.0,0.9259259259259259,0.6470588235294118,0.9084967320261439,2,0.1831220683013728,0.9722222222222222,0.896943595027851
64.0,0.9259259259259259,0.6944837340876945,0.916077322017916,2,0.2704505135124657,0.9537037037037037,0.8959166980538251
