Bumps,Dirtiness,K_Scratch,Other_Faults,Pastry,Stains,Z_Scratch
51,0,0,24,5,0,1
0,8,0,2,1,0,0
0,0,75,3,0,0,0
9,2,4,107,6,1,6
4,0,0,6,22,0,0
0,0,0,0,0,14,0
0,0,0,3,0,0,35
