step,ce,accuracy,lr,prior_time,train_time,icl_reg,probe/ellip_std_per_head_mean,probe/ellip_mean_m,probe/attn_kl_mean,probe/attn_entropy_mean,probe/delta_ce,probe/ce,probe/chance_entropy
1,0.6914418764499715,0.6917507059406489,,21.46230176199606,28.21498886599875,,,,,,,,
2,0.6766207613545703,0.6999302045442164,,0.0003772049967665225,8.985910135001177,,,,,,,,
3,0.8389280144547229,0.6471122931689024,,0.0002119470009347424,10.655865466993419,,,,,,,,
4,0.7349529081111541,0.6862147122155875,,0.0003435399994486943,11.09146429199609,,,,,,,,
5,0.7363839311292395,0.6813293574377894,,10.815497188006702,9.05015582699707,,,,,,,,
6,0.8718212903477252,0.6337550980970263,,0.00031719700200483203,12.145483521999267,,,,,,,,
7,0.7102539137995336,0.6866116132587194,,0.3628097499968135,10.34562883900071,,,,,,,,
8,0.8093341868734569,0.6423004679381847,,25.439240427993354,9.857346256998426,,,,,,,,
9,0.7211910028709099,0.6927083334885538,,0.0004650009941542521,14.465553376998287,,,,,,,,
10,0.7626646638382226,0.6719867966603488,,12.585503918999166,9.859287548002612,,,,,,,,
11,0.6866801978612784,0.6953845024108887,,0.05726739999954589,9.361326472004293,,,,,,,,
12,0.7067850827734219,0.6921874785330147,,0.13342133600235684,9.009141793001618,,,,,,,,
13,0.7149089663653285,0.7122087362222373,,9.255677357999957,8.52174503599963,,,,,,,,
14,0.7848547859757673,0.6696974630467594,,0.03446102399902884,9.073973917998956,,,,,,,,
15,0.8881548258941621,0.6357758506201208,,0.32280039000033867,8.972971800001687,,,,,,,,
16,0.7450717113970313,0.6864684636238962,,5.483550586999627,9.981548382005712,,,,,,,,
17,0.824906196736265,0.6525848829187453,,0.006958151003345847,16.72648070300056,,,,,,,,
18,0.9027011988218874,0.622336667496711,,0.0003200490027666092,25.02621820600325,,,,,,,,
19,0.7726239649782656,0.6719576518516988,,0.00018678000196814537,13.872895861997677,,,,,,,,
20,0.7004603759379506,0.6982717984355986,,0.00017932899936567992,13.02674635600124,,,,,,,,
21,0.6744871072733076,0.6963420493993908,,0.0003797489989665337,9.16851622700051,,,,,,,,
22,0.7334983173568617,0.6949484753422439,,0.0003422209993004799,30.207201270997757,,,,,,,,
