task_id,dataset_id,dataset_name,n_valid_folds,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std,n_train_mean,n_train_std,n_test_mean,n_test_std,seed,error
3,3,kr-vs-kp,10,Binary,3196,36,2,1.0929927963326784,0.9937402037617554,0.004425592104834149,0.9937258498838395,0.004434856914894737,0.9937402037617554,0.004425592104834149,0.9939064606525447,0.004308905302461662,0.9936429257068937,0.004492674204614854,0.9995841228133461,0.00048788220856867955,0.024469609017862427,0.011413169450956988,0.7458491702564061,0.37888346155052105,0.7148916964419186,0.00900193712922828,2876.4,0.5163977794943223,319.6,0.5163977794943223,42.0,
6,6,letter,0,,20000,16,26,1.1076294277929155,,,,,,,,,,,,,,,,,,,,,,,,"Dataset has 26 classes, exceeds limit of 10"
11,11,balance-scale,10,Multiclass,625,4,3,5.877551020408164,0.9167690732206861,0.007161801295759314,0.636435096803081,0.004909371362118661,0.9167690732206861,0.007161801295759314,0.6123538074093021,0.004742165112034288,0.6632183908045977,0.005552251626892445,0.9961894093830679,0.0040809254119122396,0.24415650705601824,0.014272913121489332,0.5710843073204159,0.08755905186680547,0.13815632024779917,0.01939269770427596,562.5,0.5270462766947299,62.5,0.5270462766947299,42.0,
12,12,mfeat-factors,10,Multiclass,2000,216,10,1.0,0.9834999999999999,0.005797509043642035,0.9835235767655538,0.005765320821465068,0.9834999999999999,0.005797509043642035,0.9842878787878788,0.0055604769154388774,0.9834999999999999,0.005797509043642019,0.9983694444444444,0.0030751072003350906,1.5588194678692675,0.005016301858336204,0.7881118942983448,0.03240984666387148,1.8505649041384458,0.0013810093579761976,1800.0,0.0,200.0,0.0,42.0,
14,14,mfeat-fourier,10,Multiclass,2000,76,10,1.0,0.8294999999999998,0.02910230995031913,0.826372029831289,0.029130224488257958,0.8294999999999998,0.02910230995031913,0.8300193088784755,0.02851098817883807,0.8294999999999998,0.029102309950319146,0.9801277777777777,0.0071708189712746725,1.653276978015104,0.012743434299431054,0.5873285792768002,0.007519250065903197,0.7441412128508091,0.0007862307134958321,1800.0,0.0,200.0,0.0,42.0,
15,15,breast-w,10,Binary,699,9,2,1.900414937759336,0.9699585921325052,0.022785084353245996,0.9672751853046885,0.024839939433636608,0.9699585921325052,0.022785084353245996,0.9629575082727257,0.026851058658013394,0.9730917874396136,0.022515549177194453,0.9959327697262481,0.004522938469152851,0.08000339096677449,0.043445139672277186,0.49216853650286796,0.03109312387447493,0.15150039922446012,0.0011484451722433289,629.1,0.31622776601683794,69.9,0.31622776601683794,42.0,
16,16,mfeat-karhunen,10,Multiclass,2000,64,10,1.0,0.982,0.004830458915396484,0.9819859145988798,0.004849509008871521,0.982,0.004830458915396484,0.9827226019594442,0.004757987722466655,0.982,0.004830458915396452,0.9959250000000001,0.0043882061119161885,1.564864961867035,0.004524655307976859,0.568239729013294,0.030797188697239228,0.6523116586729885,0.0009019944944417616,1800.0,0.0,200.0,0.0,42.0,
18,18,mfeat-morphological,10,Multiclass,2000,6,10,1.0,0.734,0.0315171910761942,0.7263978624780445,0.034813955942515996,0.734,0.0315171910761942,0.7319891952648846,0.037350562087528676,0.734,0.03151719107619416,0.9615819444444444,0.009575098112187933,1.675852147292821,0.015443414590987713,0.487777195032686,0.009385398451574024,0.24309869138523937,0.0004595885623231668,1800.0,0.0,200.0,0.0,42.0,
22,22,mfeat-zernike,10,Multiclass,2000,47,10,1.0,0.8220000000000001,0.020575065816014593,0.8177191143113838,0.021503482606535937,0.8220000000000001,0.020575065816014593,0.8158490341488726,0.022854079075666955,0.8220000000000001,0.02057506581601462,0.9779111111111112,0.004147482585494724,1.6082781234972532,0.008793591786027026,0.5588857942260802,0.03144220567785465,0.5293736853636801,0.0009730462198210229,1800.0,0.0,200.0,0.0,42.0,
23,23,cmc,10,Multiclass,1473,9,3,1.8888888888888888,0.5316096708953852,0.029599840420563184,0.41935903681410014,0.028482361620113573,0.5316096708953852,0.029599840420563184,0.48969258925561954,0.08346324715586331,0.46272350883356567,0.025752432562032045,0.7413315736105182,0.02857671009606724,0.925249063824117,0.02235477070896057,0.5035890760831535,0.029272861225406545,0.21065471265465022,0.001021161197752213,1325.7,0.48304589153964794,147.3,0.48304589153964794,42.0,
28,28,optdigits,10,Multiclass,5620,64,10,1.032490974729242,0.991459074733096,0.004422622036134572,0.9915008855518321,0.00438042590502468,0.991459074733096,0.004422622036134572,0.9917375330060263,0.004194520196216778,0.9914716395220025,0.004449977748527284,0.9997759659194163,0.0005541816397340946,1.548730917102056,0.002054444123906958,0.6601715812459588,0.0027051710672979035,1.7777430744841696,0.0006968260231507767,5058.0,0.0,562.0,0.0,42.0,
29,29,credit-approval,10,Binary,690,15,2,1.247557003257329,0.8826086956521738,0.045549177067915614,0.8814189927215954,0.04573725620485807,0.8826086956521738,0.045549177067915614,0.8815137194198854,0.04593637111361076,0.8822413042531888,0.045080780695140224,0.9375557587102579,0.030044651643444744,0.3179302773364321,0.0861667237138211,0.5089435767382383,0.030824779540023314,0.1656107314862311,0.0006685911505050147,621.0,0.0,69.0,0.0,42.0,
