task_id,dataset_id,dataset_name,n_valid_folds,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,fit_seconds_mean,fit_seconds_std,predict_seconds_mean,predict_seconds_std,n_train_mean,n_train_std,n_test_mean,n_test_std,seed,error
3,3,kr-vs-kp,10,Binary,3196,36,2,1.0929927963326784,0.9956191222570533,0.0049339398995113335,0.9956112299940459,0.004939812514971136,0.9956191222570533,0.0049339398995113335,0.9956917207726248,0.004915687284584236,0.9956123099518198,0.004833579321376924,0.9998625363569056,0.00022562957851798127,0.015758107493164565,0.016754209504223974,0.7499339855276048,0.4155155162351072,0.7050474597141146,0.021513552119856436,2876.4,0.5163977794943223,319.6,0.5163977794943223,42.0,
6,6,letter,0,,20000,16,26,1.1076294277929155,,,,,,,,,,,,,,,,,,,,,,,,"Dataset has 26 classes, exceeds limit of 10"
11,11,balance-scale,10,Multiclass,625,4,3,5.877551020408164,0.9807731694828469,0.014791677602651666,0.9582489343015659,0.029356445883833838,0.9807731694828469,0.014791677602651666,0.9395634920634921,0.03948276432734114,0.9861247947454844,0.010643017869544621,0.9973923949495103,0.004638864225358009,0.06042659311578332,0.02742248642633017,0.42575494591146706,0.0012941830728419256,0.11872912757098675,0.0011006811321338777,562.5,0.5270462766947299,62.5,0.5270462766947299,42.0,
12,12,mfeat-factors,10,Multiclass,2000,216,10,1.0,0.9844999999999999,0.008959786703810415,0.9845006606572719,0.008961989277822992,0.9844999999999999,0.008959786703810415,0.9851273638642061,0.008551442684450499,0.9844999999999999,0.008959786703810394,0.9998111111111111,0.0001836977298909127,0.049125245356138936,0.026360233645012325,0.8052332739345729,0.039951764140056675,1.8380728447809815,0.000489419226191262,1800.0,0.0,200.0,0.0,42.0,
14,14,mfeat-fourier,10,Multiclass,2000,76,10,1.0,0.8744999999999999,0.030041637771599603,0.8735980301741286,0.029579940115394374,0.8744999999999999,0.030041637771599603,0.8782026473897521,0.029180250440699763,0.8744999999999999,0.03004163777159961,0.9897416666666666,0.002940862309736425,0.27773137502676787,0.04623196200986663,0.5365881226025522,0.0013431305450645914,0.7334196991287172,0.0004878847858570108,1800.0,0.0,200.0,0.0,42.0,
15,15,breast-w,10,Binary,699,9,2,1.900414937759336,0.9713871635610767,0.020203475231282044,0.968452909781836,0.02228235369846165,0.9713871635610767,0.020203475231282044,0.9678076084708502,0.02283632030912006,0.9702765700483091,0.023600343733200455,0.9939427536231886,0.005840517003553061,0.08752163465286489,0.04593022485243828,0.44250256950035693,0.032079205174671506,0.142395883705467,0.0005814472367287637,629.1,0.31622776601683794,69.9,0.31622776601683794,42.0,
16,16,mfeat-karhunen,10,Multiclass,2000,64,10,1.0,0.9884999999999999,0.004743416490252573,0.9885362570329134,0.004697108584870285,0.9884999999999999,0.004743416490252573,0.9891826651609259,0.004345896411572092,0.9884999999999999,0.004743416490252561,0.9998388888888888,0.00013532463634403054,0.05256800225294158,0.018354654682528403,0.5335307776927948,0.0656679044777812,0.6494789113290608,0.01652867642056959,1800.0,0.0,200.0,0.0,42.0,
18,18,mfeat-morphological,10,Multiclass,2000,6,10,1.0,0.7495,0.02565259354442659,0.7438011376145629,0.02656883418718876,0.7495,0.02565259354442659,0.750268353139415,0.032322763651331674,0.7495,0.025652593544426557,0.9696777777777779,0.0067502121086422005,0.5763403290513367,0.08706876460247484,0.4429258001036942,0.028372357995313773,0.2316131191328168,0.00013971185975960513,1800.0,0.0,200.0,0.0,42.0,
22,22,mfeat-zernike,10,Multiclass,2000,47,10,1.0,0.885,0.019002923751652315,0.8828944124500653,0.02009434268105103,0.885,0.019002923751652315,0.8848109884869171,0.019700155211366414,0.885,0.019002923751652332,0.9899319444444444,0.002158424990506553,0.23204258064334513,0.03852325181107495,0.4982652662321925,0.0022556153045132136,0.5208067876286805,0.0008099861122318599,1800.0,0.0,200.0,0.0,42.0,
23,23,cmc,10,Multiclass,1473,9,3,1.8888888888888888,0.5594364772936202,0.03620544042617606,0.535309364193261,0.04269719628534233,0.5594364772936202,0.03620544042617606,0.5485129972400683,0.04147958801503216,0.5340101724826584,0.04198016687769116,0.7513226890577009,0.03142753482042179,0.8847916199477514,0.04942409384620817,0.44583142902702094,0.0066393684754893325,0.20214303946122528,9.013539744919946e-05,1325.7,0.48304589153964794,147.3,0.48304589153964794,42.0,
