dataset,condition,param_type,param_value,rotation_seed,rotation_cols_hash,p_cell,n_test,acc_sa,acc_ea,f1_sa,f1_ea,nll_sa,nll_ea,ece_sa,ece_ea,seed,n_estimators,use_hierarchical,sa_checkpoint,ea_checkpoint
adult,feature_rotation_kdim_context,k_subspace,6.0,180402.0,548589.0,,9769,0.6726379363292047,0.6698740915139728,0.5167030517020215,0.5190987406197425,0.7011731671408412,0.7165138722799099,0.1630553846069314,0.16482132867898433,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_icl_only/step-1000.ckpt
adult,feature_rotation_kdim_both,k_subspace,6.0,98633.0,398366.0,,9769,0.8562800696079435,0.8560753403623708,0.783385865660182,0.7888911602182771,0.3081266774766497,0.3085271203352716,0.013624810595292237,0.01205921002256307,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_icl_only/step-1000.ckpt
adult,feature_rotation_kdim_context,k_subspace,6.0,98633.0,398366.0,,9769,0.6879926297471594,0.6737639471798547,0.5171393339953985,0.5217196259201337,0.6982082397038464,0.7203277759859411,0.1370534746450904,0.14347865646431424,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_icl_only/step-1000.ckpt
adult,feature_rotation_kdim_both,k_subspace,6.0,553233.0,577637.0,,9769,0.8548469648889344,0.8560753403623708,0.7814604827152305,0.7885325945714923,0.3079973371736474,0.30796578173566297,0.015171664216792013,0.011282184702650341,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_icl_only/step-1000.ckpt
adult,feature_rotation_kdim_context,k_subspace,6.0,553233.0,577637.0,,9769,0.7281195618794145,0.7200327566792917,0.6306185100294691,0.6235304005773107,0.7001107180691498,0.6998853043149503,0.09855510343096127,0.09869033475897916,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_icl_only/step-1000.ckpt
adult,uninformative_features_shuffled,n_add,50.0,,,,9769,0.8255706827720339,0.8063261336881974,0.7113628967621495,0.6462953819821599,0.3769275158838555,0.4000884685599372,0.013128012147234325,0.013637807781931337,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_icl_only/step-1000.ckpt
adult,label_poison,frac,0.1,,,,9769,0.8508547446002661,0.8474767120483161,0.7778572439800684,0.7770327568216061,0.34703816008516275,0.3534489752759896,0.05358907486719074,0.053381243910366284,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_icl_only/step-1000.ckpt
adult,context_poison,frac,0.05,,,,9769,0.8551540587572934,0.8522878493192753,0.7807844048284939,0.7810606615143496,0.30693092424650326,0.3083181673341519,0.011093717268636201,0.013178660164519821,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_icl_only/step-1000.ckpt
adult,context_poison,frac,0.1,,,,9769,0.8542327771522162,0.8538233186610708,0.7789508542241494,0.7835985578089497,0.3077376293636153,0.3090396811924994,0.012934654148760586,0.011256992694896899,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_icl_only/step-1000.ckpt
bank-marketing,clean,none,0.0,,,,9043,0.9041247373659184,0.900807254229791,0.7195788769343401,0.7029974132826127,0.2170815700095961,0.2228938246827847,0.012459449657069781,0.010662332409503598,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_icl_only/step-1000.ckpt
bank-marketing,cell_outliers_tabpfn_test,outlier_factor,5.0,,,0.02,9043,0.9014707508570164,0.8982638504920933,0.7188744388915842,0.7032150925390036,0.22329766031017034,0.2292507863926572,0.01006753366499447,0.009558216984736322,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_icl_only/step-1000.ckpt
bank-marketing,cell_outliers_tabpfn_test,outlier_factor,10.0,,,0.02,9043,0.8950569501271702,0.8929558774742895,0.7085488233981805,0.6947348745339224,0.22822956402998867,0.23492919659977013,0.013843133994518713,0.011904273546732036,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_icl_only/step-1000.ckpt
bank-marketing,cell_outliers_tabpfn_test,outlier_factor,50.0,,,0.02,9043,0.8888643149397324,0.8874267389140772,0.7018459165782117,0.6905464077492363,0.23395935858616126,0.24029217448421406,0.016975331626792146,0.016371899350849838,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_icl_only/step-1000.ckpt
bank-marketing,feature_rotation_pairs_both,angle_deg,45.0,115802.0,,,9043,0.9056728961627778,0.9010284197721995,0.7272511582142418,0.7030174561184407,0.21729896414154973,0.22302886045063466,0.010533657496341664,0.012665595573805815,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_icl_only/step-1000.ckpt
bank-marketing,feature_rotation_kdim_both,k_subspace,7.0,123281.0,740467.0,,9043,0.9032400751962845,0.9018024991706293,0.7160971027651257,0.7101983309538623,0.2180398911119554,0.22317109557697593,0.01136512817909899,0.01139257953557954,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_icl_only/step-1000.ckpt
bank-marketing,feature_rotation_kdim_context,k_subspace,7.0,123281.0,740467.0,,9043,0.7807143647019794,0.8115669578679642,0.5091994303930454,0.5102757331909538,0.5183191645582307,0.47291682428109766,0.08279205174041669,0.07075251563254756,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_icl_only/step-1000.ckpt
bank-marketing,feature_rotation_kdim_both,k_subspace,7.0,653243.0,895220.0,,9043,0.9020236647130377,0.9019130819418335,0.7111575877814953,0.7063084789093395,0.21888006869783153,0.2234684068740279,0.012286834810128903,0.012049913623883206,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_icl_only/step-1000.ckpt
bank-marketing,feature_rotation_kdim_context,k_subspace,7.0,653243.0,895220.0,,9043,0.8337940948800177,0.84739577573814,0.5319558851559469,0.537820161647059,0.4908350524077413,0.4606735612637549,0.10113666788028638,0.08960347295954313,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_icl_only/step-1000.ckpt
bank-marketing,feature_rotation_kdim_both,k_subspace,7.0,530644.0,701496.0,,9043,0.9043459029083268,0.9016919163994249,0.7205190398714205,0.7056462657839941,0.21849279430222665,0.22356097250982002,0.012393523419996173,0.011275540868832371,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_icl_only/step-1000.ckpt
