dataset_id,dataset_name,n_folds,accuracy_n,accuracy_mean,accuracy_std,f1_macro_n,f1_macro_mean,f1_macro_std,f1_micro_n,f1_micro_mean,f1_micro_std,precision_macro_n,precision_macro_mean,precision_macro_std,recall_macro_n,recall_macro_mean,recall_macro_std,roc_auc_n,roc_auc_mean,roc_auc_std,log_loss_n,log_loss_mean,log_loss_std,fit_seconds_n,fit_seconds_mean,fit_seconds_std,predict_seconds_n,predict_seconds_mean,predict_seconds_std
3,kr-vs-kp,10,10,0.9721434169278999,0.013500441525515942,10,0.9720798799825074,0.013552079933533773,10,0.9721434169278999,0.013500441525515942,10,0.9722109373691381,0.013284038355488937,10,0.9720915434104995,0.013734302910476205,10,0.9958034820607086,0.003659622261166519,10,0.20229368574158926,0.013269693540613135,10,3.673296278488124,0.23898191709022712,10,0.8012249602004886,0.08417318509947166
11,balance-scale,10,10,0.9216077828981055,0.0049168774542006815,10,0.6397329914424299,0.0017787976394846455,10,0.9216077828981055,0.0049168774542006815,10,0.6154244891993944,0.0033863133435326548,10,0.6666666666666667,1.1702778228589004e-16,10,0.9963161884673575,0.0036310569729264583,10,0.2757392571146211,0.013460464760629719,10,3.560485724004684,0.17069505560584342,10,0.16665090489550488,0.004580941086277485
12,mfeat-factors,10,10,0.9804999999999999,0.008316649966583106,10,0.9805037320055232,0.008293529017166774,10,0.9804999999999999,0.008316649966583106,10,0.9815542760062211,0.00761227211663953,10,0.9804999999999999,0.008316649966583106,10,0.9978055555555555,0.003377789960991653,10,1.6311437338787296,0.004866503885277836,10,3.9792497321031988,0.28599787092799767,10,2.020091290900018,0.03778870943488954
14,mfeat-fourier,10,10,0.8365,0.03266411554664299,10,0.8339182568593259,0.03272570460868632,10,0.8365,0.03266411554664299,10,0.8379822542444438,0.03194360406978229,10,0.8365,0.03266411554664299,10,0.9805944444444444,0.006567357027486326,10,1.7264628779280584,0.01217428044221341,10,3.9460493921884336,0.18016041584525558,10,0.8406907872180455,0.010662553210024305
15,breast-w,10,10,0.9728157349896481,0.019579799649409944,10,0.9702915799580776,0.02132467634554454,10,0.9728157349896481,0.019579799649409944,10,0.9677161422536077,0.02392930360991409,10,0.9742693236714978,0.018839664643605206,10,0.9952095008051529,0.005256511406780031,10,0.08085836913117826,0.04370598119090822,10,3.6334617642860394,0.1730612599269817,10,0.2287116300023626,0.006578714761910813
16,mfeat-karhunen,10,10,0.9795,0.007245688373094725,10,0.9795098181664292,0.007281137090016625,10,0.9795,0.007245688373094725,10,0.9802828662565505,0.007100378058092249,10,0.9795,0.007245688373094725,10,0.9971555555555556,0.0021414807128122817,10,1.6520840037183653,0.005702142000945193,10,3.7180120526987595,0.15644798150942602,10,0.7499715405981988,0.006397637725206089
18,mfeat-morphological,10,10,0.7315,0.031273879764998076,10,0.7269443898745512,0.03160624381906926,10,0.7315,0.031273879764998076,10,0.731734614552625,0.03387989310760622,10,0.7315,0.0312738797649981,10,0.9625097222222221,0.00954807894139938,10,1.7361783548086578,0.014212063244698892,10,3.6028575183008797,0.10831426748206698,10,0.33313743029139004,0.005094251493769203
22,mfeat-zernike,10,10,0.8125,0.029273613450417135,10,0.8090854962890269,0.029490792875518902,10,0.8125,0.029273613450417135,10,0.8080708242207233,0.030143614087829538,10,0.8125,0.02927361345041714,10,0.9779944444444446,0.003778680901489397,10,1.6807703477628055,0.008895215271321411,10,3.6639567737001926,0.14246671487161713,10,0.6236381925002206,0.010143413786961604
23,cmc,10,10,0.5105580069865785,0.026095149766314725,10,0.397220263929514,0.024244665508258365,10,0.5105580069865785,0.026095149766314725,10,0.4396336477458297,0.07280314793269475,10,0.4403120791640715,0.02273758302087176,10,0.7301529552233893,0.0318135637892759,10,0.9415152046310471,0.022824193294024405,10,3.623542232904583,0.1801293371372874,10,0.29215284560341387,0.0022474045281628066
28,optdigits,10,10,0.9900355871886122,0.005184287872695637,10,0.9900420478400568,0.005174878852574578,10,0.9900355871886122,0.005184287872695637,10,0.9901876653027643,0.00510214871052265,10,0.9900526944320047,0.0051968358665180235,10,0.9997437709882023,0.0005443393914116261,10,1.6255431751699951,0.0021354690357439036,10,3.8114293908991383,0.19471520762283986,10,1.938106335606426,0.027039838031900194
29,credit-approval,10,10,0.8869565217391304,0.043638994359946726,10,0.8857198199143153,0.043877584849825665,10,0.8869565217391304,0.043638994359946726,10,0.8860150867873834,0.04409219507913455,10,0.8862424361151016,0.04325885851226521,10,0.9330577684907055,0.03184326816734748,10,0.3296206904740918,0.08638984766356375,10,3.563006395811681,0.2018929788324742,10,0.24201986478874454,0.004700092832485518
31,credit-g,10,10,0.751,0.023781411975649314,10,0.6727478484528226,0.034924602233344586,10,0.751,0.023781411975649314,10,0.7064526420145789,0.03618967549521169,10,0.6630952380952382,0.03437983113855631,10,0.7858095238095238,0.03204525648343198,10,0.4959612304341568,0.03010046536079743,10,3.640509286202723,0.1660881903004347,10,0.3021719462994952,0.004282700874481157
32,pendigits,10,10,0.9968161138224831,0.0017279987046476691,10,0.9968130786518932,0.0017202108078491836,10,0.9968161138224831,0.0017279987046476691,10,0.9968764892154984,0.001704890475684847,10,0.9967826600956864,0.0017204857415203368,10,0.9993549973248864,0.0008500330558649953,10,1.612064151904989,0.0010850341832604187,10,3.7558738438936414,0.14623117516208767,10,2.0014658184954897,0.03368718043752549
37,diabetes,10,10,0.775956937799043,0.05267868288830325,10,0.7480273645686579,0.06065905557626646,10,0.775956937799043,0.05267868288830325,10,0.7586259739167771,0.06385553027059504,10,0.7455783475783476,0.06147737667975748,10,0.8399031339031339,0.048011684389698495,10,0.4736712534117074,0.061015350523496915,10,3.562557043210836,0.17542851726123437,10,0.23572308470611456,0.00475761202861559
38,sick,10,10,0.9695079505424333,0.01233879193155742,10,0.8865775013748969,0.04130763217490768,10,0.9695079505424333,0.01233879193155742,10,0.8434181449664278,0.04370158951545481,10,0.9472631607626602,0.0360360478718154,10,0.9910950637914114,0.004798080104645901,10,0.09518560872004125,0.010646569552136439,10,3.7136151236074513,0.13040447111820866,10,0.7828499099996407,0.008329460513144713
