dataset,condition,param_type,param_value,rotation_seed,rotation_cols_hash,p_cell,n_test,acc_sa,acc_ea,f1_sa,f1_ea,nll_sa,nll_ea,ece_sa,ece_ea,seed,n_estimators,use_hierarchical,sa_checkpoint,ea_checkpoint
adult,feature_rotation_kdim_context,k_subspace,6.0,180402.0,524973.0,,9769,0.6726379363292047,0.6700788207595455,0.5167030517020215,0.5287369968185263,0.7011731671408412,0.7106313383124484,0.1630553846069314,0.160097575746572,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
adult,feature_rotation_kdim_both,k_subspace,6.0,98633.0,504002.0,,9769,0.8562800696079435,0.8564847988535162,0.783385865660182,0.7890624759355607,0.3081266774766497,0.3085435039746783,0.013624810595292237,0.012436088196317776,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
adult,feature_rotation_kdim_context,k_subspace,6.0,98633.0,504002.0,,9769,0.6879926297471594,0.6702835500051182,0.5171393339953985,0.5290294343011086,0.6982082397038464,0.7281098286326648,0.1370534746450904,0.15220820385768624,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
adult,feature_rotation_kdim_both,k_subspace,6.0,553233.0,986966.0,,9769,0.8548469648889344,0.8553587880028662,0.7814604827152305,0.7871538444778525,0.3079973371736474,0.3080412131028826,0.015171664216792013,0.011821497181003896,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
adult,feature_rotation_kdim_context,k_subspace,6.0,553233.0,986966.0,,9769,0.7281195618794145,0.7210564029071553,0.6306185100294691,0.6359197225659057,0.7001107180691498,0.6869424632968856,0.09855510343096127,0.10376084760580376,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
adult,uninformative_features_shuffled,n_add,50.0,,,,9769,0.8255706827720339,0.8076568737844201,0.7113628967621495,0.641561367226378,0.3769275158838555,0.39611032245470396,0.013128012147234325,0.021260708024404433,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
adult,label_poison,frac,0.1,,,,9769,0.8508547446002661,0.8511618384686253,0.7778572439800684,0.7798863737794991,0.34703816008516275,0.35040856144355464,0.05358907486719074,0.05609089001282562,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
adult,context_poison,frac,0.05,,,,9769,0.8551540587572934,0.8549493295117208,0.7807844048284939,0.7871313125426107,0.3069308440792874,0.30897004296022157,0.011093632764149545,0.009775290934355448,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
adult,context_poison,frac,0.1,,,,9769,0.8542327771522162,0.8550516941345071,0.7789508542241494,0.7875335958209397,0.3077377698505755,0.3097288812227625,0.012934823908206959,0.00968352776245373,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
bank-marketing,clean,none,0.0,,,,9043,0.9041247373659184,0.899922592060157,0.7195788769343401,0.6977320396987143,0.2170815700095961,0.22100933218314964,0.012459449657069781,0.009577663561998039,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
bank-marketing,cell_outliers_tabpfn_test,outlier_factor,5.0,,,0.02,9043,0.9014707508570164,0.8969368572376424,0.7188744388915842,0.6971240411769593,0.22329766031017034,0.22651006851680663,0.01006753366499447,0.008749188034062284,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
bank-marketing,cell_outliers_tabpfn_test,outlier_factor,10.0,,,0.02,9043,0.8950569501271702,0.891850049762247,0.7085488233981805,0.690321492229512,0.22822956402998867,0.2317119222977912,0.013843133994518713,0.01051918326338529,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
bank-marketing,cell_outliers_tabpfn_test,outlier_factor,50.0,,,0.02,9043,0.8888643149397324,0.8866526595156474,0.7018459165782117,0.6876609553238144,0.23395935858616126,0.23670329675638932,0.016975331626792146,0.015274361588318741,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
bank-marketing,feature_rotation_pairs_both,angle_deg,45.0,115802.0,,,9043,0.9056728961627778,0.900364923144974,0.7272511582142418,0.699396445911255,0.21729896414154973,0.22178330961700096,0.010533657496341664,0.01034417784373525,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
bank-marketing,feature_rotation_kdim_both,k_subspace,7.0,123281.0,848521.0,,9043,0.9032400751962845,0.9009178370009953,0.7160971027651257,0.7002466237583354,0.2180398911119554,0.2220736007757884,0.01136512817909899,0.010524167933322195,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
bank-marketing,feature_rotation_kdim_context,k_subspace,7.0,123281.0,848521.0,,9043,0.7807143647019794,0.8327988499391795,0.5091994303930454,0.5142717886486164,0.5183191645582307,0.47093953195409305,0.08279205174041669,0.0875777212784879,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
bank-marketing,feature_rotation_kdim_both,k_subspace,7.0,653243.0,189144.0,,9043,0.9020236647130377,0.9005860886873825,0.7111575877814953,0.6970852822880006,0.21888006869783153,0.22241089299166072,0.012286834810128903,0.010556162286883053,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
bank-marketing,feature_rotation_kdim_context,k_subspace,7.0,653243.0,189144.0,,9043,0.8337940948800177,0.8588963839433816,0.5319558851559469,0.5395483012533815,0.4908350524077413,0.4592777222696608,0.10113666788028638,0.0955651997597123,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
bank-marketing,feature_rotation_kdim_both,k_subspace,7.0,530644.0,467579.0,,9043,0.9043459029083268,0.9004755059161783,0.7205190398714205,0.6965807313646951,0.21849279430222665,0.223154755635506,0.012393523419996173,0.012001040629629797,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
bank-marketing,feature_rotation_kdim_context,k_subspace,7.0,530644.0,467579.0,,9043,0.8588963839433816,0.856352980205684,0.5356372599363254,0.5419575965407181,0.39467594198671974,0.3703570761464962,0.06088740541174863,0.03240572701615201,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
bank-marketing,uninformative_features_shuffled,n_add,50.0,,,,9043,0.8894172287957536,0.8862103284308305,0.626058515329492,0.5568557125735294,0.25323147460669804,0.25851060515661,0.016759600850790465,0.022424872741754084,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
bank-marketing,label_poison,frac,0.1,,,,9043,0.9022448302554462,0.8991485126617274,0.7118096022560292,0.6911688050242115,0.25725459315153393,0.2636192113042673,0.05857526457152855,0.05725352156153033,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
bank-marketing,context_poison,frac,0.05,,,,9043,0.9050093995355524,0.9018024991706293,0.7183162806568781,0.7051804518632021,0.2156650176304174,0.22263285654613663,0.010922109917256097,0.009249882144130674,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
bank-marketing,context_poison,frac,0.1,,,,9043,0.9054517306203693,0.9020236647130377,0.72258631184478,0.710543752012296,0.21469517508259797,0.21900832372791465,0.011090564777876703,0.009463056248003905,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
electricity,clean,none,0.0,,,,9063,0.8517047335319431,0.8486152488138585,0.8468661490877196,0.8440113445966391,0.33828045871943235,0.34665103134834246,0.017328859802693514,0.018158751871495606,42,32,True,checkpoints_mini_tabicl_stage2_sa/step-1000.ckpt,checkpoints_mini_tabicl_stage2_ea_row_icl/step-1000.ckpt
