dataset_id,dataset_name,n_folds,accuracy_n,accuracy_mean,accuracy_std,f1_macro_n,f1_macro_mean,f1_macro_std,f1_micro_n,f1_micro_mean,f1_micro_std,precision_macro_n,precision_macro_mean,precision_macro_std,recall_macro_n,recall_macro_mean,recall_macro_std,roc_auc_n,roc_auc_mean,roc_auc_std,log_loss_n,log_loss_mean,log_loss_std,fit_seconds_n,fit_seconds_mean,fit_seconds_std,predict_seconds_n,predict_seconds_mean,predict_seconds_std
3,kr-vs-kp,10,10,0.9733934169278997,0.013327042762982943,10,0.9733314306387563,0.013381383403939793,10,0.9733934169278997,0.013327042762982943,10,0.973480931637364,0.013085389830066971,10,0.973343940576951,0.013591922962492172,10,0.9957719918934682,0.0036400986015067954,10,0.20400156120999208,0.01344215342088287,10,0.3452380044385791,0.06628041601884549,10,0.5399202415719628,0.003978309466531776
11,balance-scale,10,10,0.9695340501792117,0.014134330508799033,10,0.9324382768091176,0.033591448150640614,10,0.9695340501792117,0.014134330508799033,10,0.9119854953475643,0.03915864745652114,10,0.9652955665024632,0.03236723183881,10,0.9961362700500098,0.003502691302298754,10,0.1012759008005982,0.027173636391153957,10,0.24677223227918144,0.023164707166443636,10,0.06622337549924846,0.0016112489166615997
12,mfeat-factors,10,10,0.9829999999999999,0.0075277265270908165,10,0.9829859639718433,0.007546862009944858,10,0.9829999999999999,0.0075277265270908165,10,0.9837940305308728,0.00712052323732215,10,0.9829999999999999,0.0075277265270908165,10,0.9995277777777778,0.0007095275578025332,10,0.07003984705208144,0.02725576957440344,10,0.5002166368067265,0.006912659329292685,10,1.4503632349893452,0.00341913181891677
14,mfeat-fourier,10,10,0.8350000000000002,0.03543381937578216,10,0.8327976828526651,0.035457964914779254,10,0.8350000000000002,0.03543381937578216,10,0.8361883803327437,0.03497901607557674,10,0.8350000000000002,0.03543381937578216,10,0.9753194444444444,0.008286330923775963,10,0.5186804039325533,0.09983282696133114,10,0.3553602879866958,0.03108737634642229,10,0.5820519166067243,0.0017354729752054841
15,breast-w,10,10,0.9699585921325051,0.019573084764947714,10,0.9670881721536266,0.021299506206997484,10,0.9699585921325051,0.019573084764947714,10,0.9654178249286947,0.023683962822038548,10,0.9701859903381642,0.01976892685008187,10,0.9952095008051529,0.005256511406779969,10,0.08150073427238627,0.04107891431774745,10,0.2548071103170514,0.023676753680742627,10,0.083412136696279,0.0026646013430105813
16,mfeat-karhunen,10,10,0.9795,0.007619419633774981,10,0.9795223259838151,0.007655077680324198,10,0.9795,0.007619419633774981,10,0.9802828662565505,0.007461291539833329,10,0.9795,0.007619419633774981,10,0.9995277777777778,0.0003031612137730482,10,0.10606072950102483,0.019333522938531373,10,0.321279539167881,0.017428466730792867,10,0.5021085510030389,0.0017001247248289964
18,mfeat-morphological,10,10,0.7389999999999999,0.02913569784454957,10,0.73551378203271,0.03063831220914425,10,0.7389999999999999,0.02913569784454957,10,0.7401190293527384,0.03182898879768944,10,0.7389999999999999,0.029135697844549523,10,0.9483055555555555,0.01036610361960563,10,0.8372544744859554,0.12557854525283166,10,0.27044843807816504,0.028632819455134587,10,0.16064304802566762,0.0026661945713227306
22,mfeat-zernike,10,10,0.8150000000000001,0.02333333333333331,10,0.8108619177021387,0.0240546267021605,10,0.8150000000000001,0.02333333333333331,10,0.8089263068447684,0.025027859630630422,10,0.8149999999999998,0.02333333333333331,10,0.9710083333333334,0.004691988363273852,10,0.6490399424457356,0.08668110999213878,10,0.3060445174574852,0.012365404302328416,10,0.3997344370931387,0.0022236366794652846
23,cmc,10,10,0.5404164368450084,0.0312567748401418,10,0.5200129529931689,0.03397184019640935,10,0.5404164368450084,0.0312567748401418,10,0.5264487480824827,0.038965242764663725,10,0.5181990877911181,0.03282761699121252,10,0.7245946607978065,0.04174047398416667,10,0.9662775856412911,0.08430096654589597,10,0.25842674653977155,0.026087079156404788,10,0.13857866693288085,0.00030819151325590894
28,optdigits,10,10,0.9891459074733095,0.00492325171279886,10,0.9891597576682434,0.004916259813869032,10,0.9891459074733095,0.00492325171279886,10,0.9893549369301082,0.004817444707442265,10,0.989172260588776,0.004938010737943067,10,0.9998423756536725,0.00015744351450573487,10,0.043904203304600896,0.008696515357828118,10,0.43681006878614426,0.0139626770009591,10,1.431384889036417,0.008090768929889067
29,credit-approval,10,10,0.8884057971014492,0.04377248807758183,10,0.8871514312487905,0.04400698726434104,10,0.8884057971014492,0.04377248807758183,10,0.8874826595171589,0.04416327163821933,10,0.8875244873971531,0.04343710957325817,10,0.9328030995603152,0.03229636393675319,10,0.330428150674171,0.08618827720144595,10,0.2539228046312928,0.004477503855138532,10,0.09250221289694306,0.001364147180378175
