bootstrap_id,auc_mean,auc_std,n_train_pretrain,n_train_cc18
0,0.9666666666666666,0.028800612990732926,60,60
1,0.9722222222222221,0.041376303082684,60,60
2,0.961111111111111,0.033878641437918,60,60
3,0.9708333333333332,0.05112545088696106,60,60
4,0.975,0.03352088440596437,60,60
5,0.9736111111111111,0.033448873829978604,60,60
6,0.9694444444444444,0.03204994655337314,60,60
7,0.976388888888889,0.031288556461302276,60,60
8,0.9805555555555555,0.03621779114001473,60,60
9,0.976388888888889,0.03527340305333416,60,60
10,0.9569444444444445,0.03234948527458921,60,60
11,0.9791666666666666,0.03928371006591931,60,60
12,0.9777777777777776,0.035204977376768275,60,60
13,0.9805555555555555,0.039711051265266105,60,60
14,0.9722222222222221,0.04336804165554444,60,60
15,0.9666666666666666,0.02921622773328144,60,60
16,0.9777777777777776,0.04235541856104695,60,60
17,0.9722222222222221,0.03707318837510873,60,60
18,0.976388888888889,0.03167153958608719,60,60
19,0.9722222222222221,0.0340206908719886,60,60
20,0.976388888888889,0.05279604946874504,60,60
21,0.9694444444444444,0.03315926773975924,60,60
22,0.9680555555555556,0.028884214365396444,60,60
23,0.961111111111111,0.04973890160963884,60,60
24,0.975,0.03458305443885761,60,60
25,0.9652777777777779,0.030270131552365808,60,60
26,0.9736111111111111,0.034860834438919824,60,60
27,0.9694444444444443,0.05696984528331576,60,60
28,0.9708333333333334,0.038162865733428024,60,60
29,0.9666666666666668,0.024747957890563176,60,60
30,0.9736111111111111,0.04430316085482381,60,60
31,0.9555555555555555,0.0618406579469255,60,60
32,0.976388888888889,0.03527340305333415,60,60
33,0.9694444444444443,0.03492993427766471,60,60
34,0.9791666666666666,0.03540985773328324,60,60
35,0.9791666666666667,0.03928371006591931,60,60
36,0.9569444444444445,0.04031368131583329,60,60
37,0.9736111111111111,0.04821265266030497,60,60
38,0.9819444444444445,0.04037344959374626,60,60
39,0.976388888888889,0.0345830544388576,60,60
40,0.9722222222222223,0.03574871576731599,60,60
41,0.9763888888888888,0.03758991278534543,60,60
42,0.9777777777777779,0.03520497737676827,60,60
43,0.9555555555555555,0.043810584154409755,60,60
44,0.9763888888888888,0.03758991278534548,60,60
45,0.976388888888889,0.03822599706811917,60,60
46,0.9597222222222221,0.04292093650100681,60,60
47,0.9708333333333334,0.032720052748304855,60,60
48,0.9638888888888888,0.06916610887771515,60,60
49,0.961111111111111,0.02970729116139923,60,60
50,0.9694444444444444,0.04067097351207314,60,60
51,0.9763888888888888,0.034583054438857605,60,60
52,0.9722222222222223,0.040789375432190036,60,60
53,0.9666666666666666,0.030822695862739103,60,60
54,0.976388888888889,0.03458305443885761,60,60
55,0.9736111111111111,0.04821265266030497,60,60
56,0.975,0.029707291161399252,60,60
57,0.9638888888888889,0.02570382711572468,60,60
58,0.976388888888889,0.04155076472681001,60,60
59,0.9791666666666666,0.03220006422047121,60,60
60,0.9777777777777779,0.027516128827998563,60,60
61,0.9680555555555553,0.03977172517576767,60,60
62,0.9777777777777776,0.03847748660331968,60,60
63,0.9736111111111111,0.036877550131532676,60,60
64,0.9638888888888889,0.04149269235080457,60,60
65,0.9791666666666666,0.035409857733283236,60,60
66,0.9652777777777779,0.029462782549439504,60,60
67,0.975,0.02532580906779235,60,60
68,0.9666666666666666,0.040313681315833336,60,60
69,0.9722222222222221,0.03739697782732293,60,60
70,0.9736111111111111,0.036217791140014714,60,60
71,0.9819444444444445,0.03315926773975925,60,60
72,0.9708333333333334,0.03197462342561485,60,60
73,0.976388888888889,0.04212708580028639,60,60
74,0.9763888888888888,0.03758991278534547,60,60
75,0.9708333333333332,0.0330864701376989,60,60
76,0.976388888888889,0.03527340305333415,60,60
77,0.961111111111111,0.03050817032845672,60,60
78,0.951388888888889,0.029869184955009107,60,60
79,0.9680555555555557,0.04381058415440972,60,60
80,0.976388888888889,0.04155076472681001,60,60
81,0.9833333333333332,0.029707291161399245,60,60
82,0.9736111111111111,0.03816286573342804,60,60
