task_id,dataset_id,dataset_name,fold,task_type,n_rows,n_features,n_classes,imbalance_ratio,accuracy,f1_macro,f1_micro,precision_macro,recall_macro,roc_auc,log_loss,fit_seconds,predict_seconds,n_train,n_test,seed,n_valid_folds,error
3,3,kr-vs-kp,0.0,Binary,3196,36,2,1.0929927963326784,0.9875,0.987460323680395,0.9875,0.9883040935672515,0.9869281045751634,0.9995694884740323,0.04079528816742399,3.405283574014902,0.7869445629767142,2876.0,320.0,42,10,
3,3,kr-vs-kp,1.0,Binary,3196,36,2,1.0929927963326784,0.978125,0.978107682835055,0.978125,0.9779262384747617,0.9787679542875034,0.9985910531877422,0.0572258101569791,2.702841560007073,0.7696022370364517,2876.0,320.0,42,10,
3,3,kr-vs-kp,2.0,Binary,3196,36,2,1.0929927963326784,0.990625,0.9905984663748274,0.990625,0.9911764705882353,0.9901960784313726,0.9988650150679035,0.04757279914931798,3.0169633220066316,0.7659374400391243,2876.0,320.0,42,10,
3,3,kr-vs-kp,3.0,Binary,3196,36,2,1.0929927963326784,0.99375,0.9937411985604757,0.99375,0.9935483870967742,0.9940119760479043,0.9998825877656451,0.03641565564327438,3.259200577973388,0.7689163879840635,2876.0,320.0,42,10,
3,3,kr-vs-kp,4.0,Binary,3196,36,2,1.0929927963326784,0.996875,0.9968698340033845,0.996875,0.9967532467532467,0.9970059880239521,1.0,0.02654649258416859,3.3226227919803932,0.7819207700085826,2876.0,320.0,42,10,
3,3,kr-vs-kp,5.0,Binary,3196,36,2,1.0929927963326784,0.99375,0.9937411985604757,0.99375,0.9935483870967742,0.9940119760479043,1.0,0.02798614048300004,3.2032206780277193,0.7704341380158439,2876.0,320.0,42,10,
3,3,kr-vs-kp,6.0,Binary,3196,36,2,1.0929927963326784,0.9811912225705329,0.9811688311688311,0.9811912225705329,0.9809992132179386,0.9814158595164975,0.9983463264824002,0.05608263467608099,3.207855638000183,0.7735936139943078,2877.0,319.0,42,10,
3,3,kr-vs-kp,7.0,Binary,3196,36,2,1.0929927963326784,0.9937304075235109,0.9937125512456638,0.9937304075235109,0.9940828402366864,0.993421052631579,0.9996454459502048,0.04575224358710274,3.2166435940307565,0.7636573719792068,2877.0,319.0,42,10,
3,3,kr-vs-kp,8.0,Binary,3196,36,2,1.0929927963326784,0.987460815047022,0.9874251024913276,0.987460815047022,0.9877909270216962,0.9871375669713205,0.9994878663725181,0.039314745126757075,3.2553532070014626,0.7889497529831715,2877.0,319.0,42,10,
3,3,kr-vs-kp,9.0,Binary,3196,36,2,1.0929927963326784,0.9937304075235109,0.9937165143397415,0.9937304075235109,0.9937165143397415,0.9937165143397415,0.9998424204223133,0.033406348573194466,2.819644781993702,0.7742255299817771,2877.0,319.0,42,10,
6,6,letter,,,20000,16,26,1.1076294277929155,,,,,,,,,,,,42,0,"Dataset has 26 classes, exceeds limit of 10"
11,11,balance-scale,0.0,Multiclass,625,4,3,5.877551020408164,0.9841269841269841,0.9638490164805954,0.9841269841269841,0.9444444444444445,0.9885057471264368,1.0,0.05155129942994801,3.024084736010991,0.1645090349484235,562.0,63.0,42,10,
11,11,balance-scale,1.0,Multiclass,625,4,3,5.877551020408164,0.9682539682539683,0.9327485380116959,0.9682539682539683,0.9047619047619048,0.9770114942528737,0.9960108181203515,0.1086702797018863,3.226934887992684,0.1676212779711932,562.0,63.0,42,10,
11,11,balance-scale,2.0,Multiclass,625,4,3,5.877551020408164,0.9682539682539683,0.9325396825396824,0.9682539682539683,0.9047619047619048,0.9770114942528735,0.9988505747126437,0.08601079736815248,3.0492290729889646,0.1710085340309888,562.0,63.0,42,10,
11,11,balance-scale,3.0,Multiclass,625,4,3,5.877551020408164,0.9365079365079365,0.8800705467372133,0.9365079365079365,0.8518518518518517,0.9540229885057471,0.9917511832319135,0.12650934433936523,3.0212280559935607,0.1715486780158244,562.0,63.0,42,10,
11,11,balance-scale,4.0,Multiclass,625,4,3,5.877551020408164,0.9841269841269841,0.9638490164805954,0.9841269841269841,0.9444444444444445,0.9885057471264368,0.9986477349560513,0.07805955526414145,3.242006213986315,0.16623456100933254,562.0,63.0,42,10,
11,11,balance-scale,5.0,Multiclass,625,4,3,5.877551020408164,0.967741935483871,0.9214285714285714,0.967741935483871,0.8888888888888888,0.9770114942528735,0.99142284918147,0.1117615972914295,2.9270103280432522,0.173501463024877,563.0,62.0,42,10,
11,11,balance-scale,6.0,Multiclass,625,4,3,5.877551020408164,0.9193548387096774,0.8581369248035915,0.9193548387096774,0.8333333333333334,0.9421182266009852,0.984934669022424,0.1878670021456706,2.9276801620144397,0.17320899898186326,563.0,62.0,42,10,
11,11,balance-scale,7.0,Multiclass,625,4,3,5.877551020408164,0.9354838709677419,0.8791208791208792,0.9354838709677419,0.8518518518518517,0.9523809523809524,0.9984802693007028,0.10234932263146446,2.663150114007294,0.15721740102162585,563.0,62.0,42,10,
11,11,balance-scale,8.0,Multiclass,625,4,3,5.877551020408164,0.967741935483871,0.9325396825396827,0.967741935483871,0.9047619047619048,0.9770114942528735,0.9935800839612092,0.11376482846315107,3.0402695299708284,0.15618856198852882,563.0,62.0,42,10,
11,11,balance-scale,9.0,Multiclass,625,4,3,5.877551020408164,0.9838709677419355,0.9636363636363635,0.9838709677419355,0.9444444444444445,0.9880952380952381,1.0,0.0868202229548802,2.981545294984244,0.16276864300016314,563.0,62.0,42,10,
12,12,mfeat-factors,0.0,Multiclass,2000,216,10,1.0,0.985,0.984971810389012,0.985,0.9861471861471862,0.985,0.999611111111111,0.06281531433126818,3.5882088810321875,2.0041875439928845,1800.0,200.0,42,10,
12,12,mfeat-factors,1.0,Multiclass,2000,216,10,1.0,0.995,0.9949968730456537,0.995,0.9952380952380953,0.9949999999999999,0.9999722222222222,0.05166559453970999,3.587095604976639,1.9813457290292718,1800.0,200.0,42,10,
12,12,mfeat-factors,2.0,Multiclass,2000,216,10,1.0,0.985,0.9851067631555436,0.985,0.9861471861471862,0.985,0.9999166666666668,0.05373737468726086,3.506279041990638,1.9955528659629636,1800.0,200.0,42,10,
12,12,mfeat-factors,3.0,Multiclass,2000,216,10,1.0,0.975,0.9749906191369604,0.975,0.9757142857142856,0.975,0.9996944444444444,0.0858285105712207,3.3776512509793974,1.9878576569608413,1800.0,200.0,42,10,
12,12,mfeat-factors,4.0,Multiclass,2000,216,10,1.0,0.965,0.9650875076998311,0.965,0.966861471861472,0.9649999999999999,0.99875,0.11937778945206301,3.3085651579895057,1.9829273240175098,1800.0,200.0,42,10,
12,12,mfeat-factors,5.0,Multiclass,2000,216,10,1.0,0.985,0.9849937460913072,0.985,0.9854761904761904,0.985,0.9999444444444444,0.05694034585260679,3.6185148560325615,2.0319090679986402,1800.0,200.0,42,10,
12,12,mfeat-factors,6.0,Multiclass,2000,216,10,1.0,0.99,0.9899937460913073,0.99,0.9904761904761905,0.99,0.9999166666666668,0.04637395617319833,3.6053631260292605,1.9932162620243616,1800.0,200.0,42,10,
12,12,mfeat-factors,7.0,Multiclass,2000,216,10,1.0,0.975,0.9750817004989021,0.975,0.9770562770562771,0.975,0.9999444444444444,0.05737475124733141,3.7199093410163186,1.9791818810044788,1800.0,200.0,42,10,
12,12,mfeat-factors,8.0,Multiclass,2000,216,10,1.0,0.98,0.9799874921826142,0.98,0.9804511278195488,0.9800000000000001,0.9993611111111111,0.07090670416935288,3.4780323999584652,1.9840446750167757,1800.0,200.0,42,10,
12,12,mfeat-factors,9.0,Multiclass,2000,216,10,1.0,0.985,0.9849968730456535,0.985,0.9852380952380952,0.985,0.9999166666666668,0.05024348197046731,3.5104213639860973,1.9810739799868315,1800.0,200.0,42,10,
14,14,mfeat-fourier,0.0,Multiclass,2000,76,10,1.0,0.8,0.7991652735446034,0.8,0.8109302856252365,0.8,0.9839444444444444,0.4474009029792262,3.368267899961211,0.8112568099750206,1800.0,200.0,42,10,
14,14,mfeat-fourier,1.0,Multiclass,2000,76,10,1.0,0.83,0.8247529039467496,0.83,0.8281049362536776,0.8300000000000001,0.9800555555555555,0.4770425238031107,3.2658489299938083,0.8284275319892913,1800.0,200.0,42,10,
14,14,mfeat-fourier,2.0,Multiclass,2000,76,10,1.0,0.815,0.8152193612976667,0.815,0.8198087073744968,0.8149999999999998,0.9796666666666667,0.49508283007753817,3.0210912770126015,0.8151394200394861,1800.0,200.0,42,10,
14,14,mfeat-fourier,3.0,Multiclass,2000,76,10,1.0,0.82,0.8165509409925328,0.82,0.8185746116628471,0.82,0.9863333333333333,0.43689649889715937,3.217166475020349,0.8134025980252773,1800.0,200.0,42,10,
14,14,mfeat-fourier,4.0,Multiclass,2000,76,10,1.0,0.765,0.7573518780200188,0.765,0.7644617930802141,0.765,0.97475,0.5417416294898083,3.321558770025149,0.8130476690130308,1800.0,200.0,42,10,
14,14,mfeat-fourier,5.0,Multiclass,2000,76,10,1.0,0.82,0.8142908219907653,0.82,0.8111900923256758,0.82,0.9786666666666667,0.45586296342757365,3.0450683439848945,0.8189338319934905,1800.0,200.0,42,10,
14,14,mfeat-fourier,6.0,Multiclass,2000,76,10,1.0,0.83,0.8240801704978511,0.83,0.833192387322822,0.8300000000000001,0.9790277777777778,0.5142116886594035,3.3125266609713435,0.8191666380153038,1800.0,200.0,42,10,
14,14,mfeat-fourier,7.0,Multiclass,2000,76,10,1.0,0.855,0.853436806780539,0.855,0.8572873141351401,0.8550000000000001,0.9839444444444444,0.43791027542298366,3.216978893033229,0.8288978549535386,1800.0,200.0,42,10,
14,14,mfeat-fourier,8.0,Multiclass,2000,76,10,1.0,0.84,0.8359685030416738,0.84,0.8380108926161558,0.8400000000000001,0.9846944444444444,0.4395336739580524,3.3171900960151106,0.8311970289796591,1800.0,200.0,42,10,
14,14,mfeat-fourier,9.0,Multiclass,2000,76,10,1.0,0.775,0.7713023040930018,0.775,0.7720772647731862,0.775,0.9710277777777778,0.593013088665353,3.27562799496809,0.8207637660088949,1800.0,200.0,42,10,
15,15,breast-w,0.0,Binary,699,9,2,1.900414937759336,0.9571428571428572,0.9529042386185244,0.9571428571428572,0.9488888888888889,0.957427536231884,0.9981884057971014,0.06134996233820215,3.15983179298928,0.22444832196924835,629.0,70.0,42,10,
15,15,breast-w,1.0,Binary,699,9,2,1.900414937759336,0.9714285714285714,0.9688888888888889,0.9714285714285714,0.9615384615384616,0.9782608695652174,0.9927536231884059,0.09221738372175228,2.976339465007186,0.21337689203210175,629.0,70.0,42,10,
15,15,breast-w,2.0,Binary,699,9,2,1.900414937759336,1.0,1.0,1.0,1.0,1.0,1.0,0.017035752228428954,3.1093936169636436,0.22352805902482942,629.0,70.0,42,10,
15,15,breast-w,3.0,Binary,699,9,2,1.900414937759336,0.9428571428571428,0.9388111888111889,0.9428571428571428,0.9285714285714286,0.9565217391304348,1.0,0.08938212476687,3.027183420956135,0.2286022959742695,629.0,70.0,42,10,
15,15,breast-w,4.0,Binary,699,9,2,1.900414937759336,1.0,1.0,1.0,1.0,1.0,1.0,0.02237035301726704,3.2236939700087532,0.22471491497708485,629.0,70.0,42,10,
15,15,breast-w,5.0,Binary,699,9,2,1.900414937759336,0.9714285714285714,0.9682971014492754,0.9714285714285714,0.9682971014492754,0.9682971014492754,0.9918478260869564,0.1484753457300685,3.102462422044482,0.21505952498409897,629.0,70.0,42,10,
15,15,breast-w,6.0,Binary,699,9,2,1.900414937759336,0.9714285714285714,0.9682971014492754,0.9714285714285714,0.9682971014492754,0.9682971014492754,0.9981884057971014,0.05394493265535786,3.029834065004252,0.23148245702032,629.0,70.0,42,10,
15,15,breast-w,7.0,Binary,699,9,2,1.900414937759336,0.9285714285714286,0.9215070643642072,0.9285714285714286,0.9177777777777778,0.9257246376811594,0.9891304347826086,0.15230504715168774,3.1847706720000133,0.22187076800037175,629.0,70.0,42,10,
15,15,breast-w,8.0,Binary,699,9,2,1.900414937759336,0.9714285714285714,0.9694055944055944,0.9714285714285714,0.962962962962963,0.9777777777777779,0.9884444444444443,0.11097434019232444,3.3425599220208824,0.2158303750329651,629.0,70.0,42,10,
15,15,breast-w,9.0,Binary,699,9,2,1.900414937759336,0.9710144927536232,0.9686363636363636,0.9710144927536232,0.9615384615384616,0.9777777777777779,0.9925925925925927,0.0961340044393862,3.0170740169705823,0.21423734404379502,630.0,69.0,42,10,
