topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.8594249201277955,0.697504832191179,0.8735664125240067,2,0.6487845643509039,0.8338658146964856,0.7121859988357034
8.0,0.8498402555910544,0.6735893851649692,0.8644001101045136,2,0.6412951445576719,0.8370607028753994,0.7141322154650298
16.0,0.8498402555910544,0.6735893851649692,0.8644001101045136,2,0.6412951445576719,0.8370607028753994,0.7124585722827967
32.0,0.8498402555910544,0.6735893851649692,0.8644001101045136,2,0.6412951445576719,0.8370607028753994,0.7104353332344456
64.0,0.8498402555910544,0.6735893851649692,0.8644001101045136,2,0.6412951445576719,0.8370607028753994,0.7070783584299275
