Bumps,Dirtiness,K_Scratch,Other_Faults,Pastry,Stains,Z_Scratch
0,0,0,81,0,0,0
0,0,0,11,0,0,0
0,0,33,45,0,0,0
0,0,0,135,0,0,0
0,0,0,32,0,0,0
0,0,0,13,0,1,0
0,0,0,37,0,0,1
