episode,pair_loss,pdlc_nll,pdlc_acc,prior_nll,auc_head,auc_cos,C,H,T,split,topk,epochs_per_episode,pairs_per_epoch,hard_neg_frac,randomize_variant,warmup,mimic_weight_used,min_anchors_per_class_used,min_queries_per_class,anchor_max_ratio
46,1.614684,0.735266,0.550847,0.731433,0.657734,0.473034,3,11,397,279,0,3,4000,0.5,False,False,0.0,4,1,0.548387
47,1.644085,0.682965,0.572650,0.693515,0.506289,0.489305,2,12,252,135,0,3,4000,0.5,False,False,0.0,4,1,0.644444
48,1.636181,0.685557,0.574468,0.682017,0.503822,0.532457,2,15,247,106,0,3,4000,0.5,False,False,0.0,4,1,0.575472
49,1.568834,0.691949,0.524590,0.695423,0.502521,0.503076,2,10,356,295,0,3,4000,0.5,False,False,0.0,4,1,0.566102
50,1.700689,0.827741,0.522388,0.820624,0.569244,0.508496,3,11,391,123,0,3,4000,0.5,False,False,0.0,4,1,0.487805
51,1.570198,1.112814,0.369697,1.133210,0.508657,0.658441,3,9,384,219,0,3,4000,0.5,False,False,0.0,4,1,0.488584
52,1.574186,0.692822,0.523077,0.692621,0.497487,0.524354,2,12,215,150,0,3,4000,0.5,False,False,0.0,4,1,0.506667
53,1.645394,0.875627,0.698113,0.830598,0.493662,0.512806,3,10,254,148,0,3,4000,0.5,False,False,0.0,4,1,0.641892
54,1.343546,0.638485,0.708134,0.609738,0.507840,0.493467,2,15,279,70,0,3,4000,0.5,False,False,0.0,4,1,0.657143
55,1.727018,0.677460,0.595890,0.675626,0.489913,0.497115,2,16,363,217,0,3,4000,0.5,False,False,0.0,4,1,0.617512
56,1.637691,0.671402,0.620000,0.664165,0.499091,0.508240,2,9,384,134,0,3,4000,0.5,False,False,0.0,4,1,0.626866
57,1.644427,0.656849,0.652174,0.647530,0.513309,0.506766,2,14,232,186,0,3,4000,0.5,False,False,0.0,4,1,0.677419
58,1.668439,0.692789,0.518248,0.697588,0.493108,0.508837,2,14,283,146,0,3,4000,0.5,False,False,0.0,4,1,0.568493
59,1.778569,0.641844,0.697436,0.618082,0.498257,0.505823,2,11,335,140,0,3,4000,0.5,False,False,0.0,4,1,0.65
60,1.563738,0.692713,0.514286,0.694641,0.483656,0.537966,2,14,327,222,0,3,4000,0.5,False,False,0.0,4,1,0.545045
61,1.583300,0.904436,0.663677,0.865950,0.497895,0.558352,3,8,388,165,0,3,4000,0.5,False,False,0.0,4,1,0.612121
62,1.576887,0.656101,0.654545,0.649272,0.489616,0.486191,2,15,258,203,0,3,4000,0.5,False,False,0.0,4,1,0.699507
63,1.314184,0.680810,0.620915,0.669349,0.496693,0.498122,2,10,197,44,0,3,4000,0.5,False,False,0.0,4,1,0.568182
64,1.361872,0.688374,0.548701,0.690846,0.511688,0.480743,2,10,368,60,0,3,4000,0.5,False,False,0.0,4,1,0.583333
65,1.806724,0.664971,0.644737,0.651195,0.527825,0.829905,2,15,319,167,0,3,4000,0.5,False,False,0.0,4,1,0.628743
66,1.893966,0.678295,0.611940,0.671862,0.493472,0.502780,2,15,148,81,0,3,4000,0.5,False,False,0.0,4,1,0.567901
