topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.9137931034482759,0.6386586396993351,0.9174974842331453,2,0.3643387400956181,0.93042416844675,0.4725541841308186
8.0,0.9179127250534025,0.6359299426376125,0.9192815735117317,2,0.33572330479002216,0.9379005187671651,0.5181847302132305
16.0,0.9171498321635643,0.6355829709716414,0.9188604449290072,2,0.33989257066664963,0.9368324687213915,0.5120988163358908
32.0,0.9169972535855966,0.6361991895801293,0.9188503842615617,2,0.34167085975723566,0.9363747329874885,0.5072575686034688
64.0,0.9162343606957584,0.6349989911651632,0.9183364154306471,2,0.34462341662636437,0.9356118400976503,0.5031676847943667
