Bumps,Dirtiness,K_Scratch,Other_Faults,Pastry,Stains,Z_Scratch
115,0,0,77,7,0,2
2,22,0,3,0,0,0
0,0,180,16,0,0,0
48,3,6,256,12,3,9
11,0,1,17,49,0,1
0,0,0,5,0,31,0
1,0,0,10,0,0,84
