step,ce,bce,pdlc_tau,accuracy,lr,prior_time,train_time,pdlc_pos_weight,pdlc_pos_frac,pdlc_pair_logit_mean,pdlc_pair_logit_std,pdlc_pair_logit_pos_mean,pdlc_pair_logit_neg_mean,pdlc_logit_gap,pdlc_gamma_pos_mean,pdlc_gamma_neg_mean,pdlc_gamma_gap,pdlc_gamma_saturated_low,pdlc_gamma_saturated_high,pdlc_neff_mean,pdlc_neff_median,pdlc_entropy,pdlc_max_prob,pdlc_prob_gap,pdlc_prior_entropy,pdlc_entropy_reduction,probe/attn_kl_mean,probe/attn_entropy_mean,probe/delta_ce,probe/ce,probe/chance_entropy
1,0.8242703759024153,0.5832330204284517,0.2510519027709961,0.6618140512146056,,9.344364408403635,42.00718817487359,1.527887689997442,0.5308594657108188,0.28839195863110945,1.3602508052717894,1.0345579708300647,-1.182663103172672,2.2172210697899573,0.6317416769452393,0.3628390774829313,0.26890259981155396,0.0297039204562366,0.03864054236692027,3310.7873392105103,3320.393546104431,nan,0.6415394213981926,0.4303139264084166,0.8777252648724243,nan,,,,,
2,0.6440262006944977,0.4503708291667863,0.2508299648761749,0.7359012260567397,,0.0002840012311935425,37.86071975622326,1.17781393948826,0.5831051866989583,0.7173138263169676,2.151708906982094,2.0414678173256107,-1.7478333466278855,3.7893011537380517,0.7082261198665947,0.35459677048493177,0.3536293499637395,0.054107217036019506,0.09167475402318814,3096.61967754364,3133.187252998352,nan,0.7109246645122766,0.5139414116274565,0.7434089774033055,nan,,,,,
3,0.8846273759263568,0.6223783376190113,0.2506083548069,0.6303870831616223,,0.009164491668343544,36.93253576755524,1.7263437766232528,0.4771356594283134,0.01993785216473043,1.6416622514370829,1.0694394274614751,-1.3543394671214628,2.423778905533254,0.6115839737467468,0.3419585819065105,0.2696253922767937,0.04136592364599778,0.038772310462443116,3290.3834199905396,3302.187654018402,nan,0.6091545731760561,0.3870457259181421,0.9715189622947946,nan,,,,,
4,0.823252725036582,0.5585190546044032,0.25038859248161316,0.6589072721544653,,0.0004937928169965744,37.359781260602176,1.553531285841018,0.5110028018243611,0.3895744635083247,1.8303892387193628,1.488175464910455,-1.5180486269659923,3.0062240886036307,0.6506542176939547,0.3524020949698752,0.2982521220110357,0.047281604279874045,0.08042223363736412,3053.9846119880676,3070.6891112327576,nan,0.6420722524635494,0.4231154151930241,0.9046317966422066,nan,,,,,
5,0.75771005594288,0.5148813913547201,0.25016969442367554,0.6914400008972734,,0.00027998071163892746,37.5311081353575,1.371934907438117,0.559420570731163,0.6874871589825489,1.5387213501962833,1.4960756217769813,-1.2220320810884004,2.7181076802080497,0.6775012332946062,0.3745927384006791,0.3029084946028888,0.027544558734462044,0.06624773383996718,3608.960223197937,3632.4210205078125,nan,0.6733580674044788,0.4706087389495224,0.816812401462812,nan,,,,,
6,0.8784796317424934,0.5780873903344173,0.24995514750480652,0.638189165154472,,0.000215824693441391,36.98459417838603,1.7905303637962788,0.49328602151945233,0.3438267293968238,2.0203514567110687,1.6911865944275633,-1.6484155586222187,3.3396021622465923,0.6509727784432471,0.3534099396824786,0.29756283783353865,0.05747714460639397,0.08071715417690939,3281.53324174881,3322.7925786972046,nan,0.6172435267362744,0.40051063306600554,0.9641179973259568,nan,,,,,
7,0.7707212349632755,0.5416522319137584,0.24974480271339417,0.6647043242119253,,0.00045554619282484055,39.30637610051781,1.4100145800912287,0.5413226068485528,0.50251873023808,1.329468716867268,1.2025325127397082,-0.8117932913446566,2.0143257785821334,0.6618077955208719,0.41885557502973825,0.24295222200453281,0.024379836170676683,0.04226148140151054,3485.455743789673,3509.0742139816284,nan,0.64237165520899,0.38869013290968724,0.8199097560718656,nan,,,,,
8,0.9163692580768839,0.6216633972944692,0.24954956769943237,0.609835151117295,,0.0004258668050169945,39.25507545378059,1.672338203075924,0.49737534881569445,0.5385781699733343,1.0246323521714658,0.9628694520361023,-0.5456465054380715,1.5085159486625344,0.6444718441925943,0.4409405250335112,0.2035313192754984,0.007304490752403581,0.03321584341063044,3828.7511701583862,3854.3407468795776,nan,0.5990219563245773,0.3500640065467451,0.9476062949397601,nan,,,,,
9,0.8955834890803089,0.5642961704870686,0.24936318397521973,0.6408203605096787,,0.00035121850669384,36.7370740622282,1.8048267499980284,0.5008964841254056,0.4726606050899136,1.7701352890580893,1.6640992007451132,-1.2561521782772616,2.92025139904581,0.683932869695127,0.4069056800199178,0.27702718996442854,0.047800571850871165,0.06046684191244367,3572.1231842041016,3632.395818710327,nan,0.6174282261636108,0.4008044318034081,0.9679286841419525,nan,,,,,
10,0.736752088143021,0.4945395467227627,0.2491844743490219,0.6964527529198676,,0.0014554942026734352,36.91383244283497,1.2783268606872298,0.5696621052920818,0.6457124323933385,1.4023363161832094,1.4499424961104523,-0.8742073134053499,2.324149803025648,0.701030042488128,0.4315126697638334,0.26951737282797694,0.0283462780515622,0.035512921033287626,3672.3244123458862,3693.321710586548,nan,0.6610231713857502,0.43243660501320846,0.7831353069050238,nan,,,,,
