Bumps,Dirtiness,K_Scratch,Other_Faults,Pastry,Stains,Z_Scratch
52,0,0,20,7,1,1
0,10,0,1,0,0,0
0,0,74,4,0,0,0
16,1,3,101,9,2,3
3,0,0,10,19,0,0
1,0,0,1,0,12,0
0,0,1,2,0,0,35
