Bumps,Dirtiness,K_Scratch,Other_Faults,Pastry,Stains,Z_Scratch
123,3,0,61,12,1,1
1,25,0,1,0,0,0
0,0,186,9,0,0,1
49,4,8,235,26,3,12
3,1,0,28,47,0,0
0,0,0,2,0,34,0
1,0,1,13,0,0,80
