topk,score,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,margin_median
,0.1827013448518825,0.477124183006536,0.1827013448518825,0.34688240519992575,3,0.25646163684768597,0.2423903741266517
8.0,0.433974419556536,0.5637254901960784,0.433974419556536,0.5436645118502538,6,0.8019018136055305,0.7458198843758524
16.0,0.4338673630703656,0.5637254901960784,0.4338673630703656,0.5437565066991399,6,0.8030660830440335,0.7436148945992436
32.0,0.4340347564498334,0.5637254901960784,0.4340347564498334,0.5435850846523004,6,0.8026717415097493,0.7361506035833774
64.0,0.4340347564498334,0.5637254901960784,0.4340347564498334,0.5435850846523004,6,0.8026717415097493,0.7288751244724907
128.0,0.4334375862110596,0.5637254901960784,0.4334375862110596,0.5431130539730652,6,0.8013147507478576,0.7251312481486578
