topk,acc,macro_f1,weighted_f1,n_predicted_classes,pred_entropy_norm,pred_top1_frac,margin_median
,0.8864468864468864,0.6851004310218338,0.8587739965988126,3,0.71191043213876,0.4478021978021978,0.6248285691290003
8.0,0.9459706959706959,0.9402168819645235,0.9459634150797344,4,0.8549904268106429,0.4065934065934066,0.9985225271300727
16.0,0.9459706959706959,0.9402168819645235,0.9459634150797344,4,0.8549904268106429,0.4065934065934066,0.9984455480675516
32.0,0.9468864468864469,0.9412838130033214,0.9468770542072817,4,0.8556415736863499,0.4056776556776557,0.9983736411906479
64.0,0.9468864468864469,0.9412838130033214,0.9468770542072817,4,0.8556415736863499,0.4056776556776557,0.9982958711863715
