episode,pair_loss,pdlc_nll,pdlc_acc,prior_nll,auc_head,auc_cos,C,H,T,split,topk,epochs_per_episode,pairs_per_epoch,hard_neg_frac,randomize_variant,warmup,mimic_weight_used,min_anchors_per_class_used,min_queries_per_class,anchor_max_ratio
46,2.062497,1.242780,0.481481,1.234209,0.612572,0.578260,5,11,142,115,115,3,2730,0.5,True,True,0.5,3,1,0.486957
47,2.074360,1.384103,0.453782,1.374714,0.526823,0.521907,5,5,320,201,201,3,2730,0.5,True,True,0.5,3,1,0.41791
48,2.042129,0.780876,0.578947,0.792178,0.633252,0.593755,3,13,148,110,110,3,2730,0.5,True,True,0.5,2,1,0.654545
49,2.033856,1.085232,0.571429,1.069618,0.542740,0.529956,4,13,269,234,234,3,2730,0.5,True,True,0.5,3,1,0.542735
50,2.040675,0.847540,0.598592,0.836404,0.514776,0.489123,3,22,352,210,210,3,2730,0.5,True,True,0.5,2,1,0.6
51,2.048101,1.058620,0.462810,1.053549,0.510102,0.508959,3,26,308,187,187,3,2730,0.5,True,True,0.5,2,1,0.395722
52,2.044029,0.972737,0.532319,0.966834,0.549674,0.465682,3,24,317,54,54,3,2730,0.5,True,True,0.5,2,1,0.537037
53,2.047970,0.665477,0.648045,0.648906,0.501979,0.510652,2,11,292,113,113,3,2730,0.5,True,True,0.5,2,1,0.637168
54,2.071770,0.692945,0.530120,0.723721,0.504010,0.508881,2,6,239,156,156,3,2730,0.5,True,True,0.5,2,1,0.653846
55,2.055825,0.872555,0.451613,0.891179,0.617017,0.501095,3,23,283,97,97,3,2730,0.5,True,True,0.5,2,1,0.56701
56,2.037523,0.800370,0.370787,0.792880,0.594242,0.555247,3,31,219,130,130,3,2730,0.5,True,True,0.5,2,1,0.476923
57,2.048841,1.502819,0.250000,1.519883,0.531168,0.508349,5,11,293,245,245,3,2730,0.5,True,True,0.5,3,1,0.387755
58,2.044278,0.689348,0.636364,0.683343,0.490432,0.493673,2,26,225,181,181,3,2730,0.5,True,True,0.5,2,1,0.519337
59,1.994621,1.130311,0.348837,1.105905,0.717775,0.677133,5,11,235,106,106,3,2730,0.5,True,True,0.5,3,1,0.443396
60,2.045412,0.691048,0.594595,0.688445,0.498258,0.481183,2,30,298,187,187,3,2730,0.5,True,True,0.5,2,1,0.513369
61,2.060977,0.681355,0.576471,0.688317,0.484097,0.499063,2,26,271,101,101,3,2730,0.5,True,True,0.5,2,1,0.633663
62,2.052503,0.683923,0.575163,0.682254,0.496469,0.501105,2,13,292,139,139,3,2730,0.5,True,True,0.5,2,1,0.589928
