Bumps,Dirtiness,K_Scratch,Other_Faults,Pastry,Stains,Z_Scratch
118,0,0,74,7,0,2
2,22,0,3,0,0,0
0,0,180,16,0,0,0
50,3,6,254,12,3,9
11,0,1,16,50,0,1
0,0,0,5,0,31,0
1,0,0,10,0,0,84
