anchor_index,anchor_label,weight
441,False,5.3926296e-06
778,False,4.4832953e-07
545,False,7.296572e-07
1327,False,1.9924455e-06
1380,False,2.9422985e-05
623,False,1.0989833e-06
841,False,5.284941e-07
730,False,0.0005354038
1342,False,8.0347604e-07
268,False,5.61204e-07
300,False,5.4483263e-07
713,False,6.650444e-07
1526,False,0.00028102275
1117,True,2.1860426e-07
234,True,2.1971302e-07
541,False,2.0746984e-06
1523,False,9.878439e-07
297,False,6.462598e-07
607,False,7.1207324e-07
609,True,2.1694919e-07
1368,False,3.454564e-07
177,False,1.4763832e-06
337,False,2.099783e-06
1226,False,7.728056e-06
1351,False,2.6149896e-06
2,False,4.1435105e-06
443,False,1.5082001e-07
129,False,4.5512007e-07
57,False,6.6276067e-07
1308,False,5.0423057e-07
211,False,3.26695e-07
1263,False,1.4802249e-06
1487,False,3.5192437e-07
750,False,7.124727e-07
1217,False,2.5913073e-07
432,False,6.1373834e-07
109,True,2.1750749e-07
1272,False,2.854347e-07
310,False,4.3317755e-07
943,False,9.204056e-07
449,False,2.1406115e-06
1068,False,2.085463e-05
1344,False,3.6956672e-07
1271,False,1.4651845e-06
1480,False,2.0424366e-07
471,False,5.0329567e-07
1408,False,1.080282e-06
94,False,9.153776e-07
238,False,6.7207304e-07
1025,False,7.3111994e-07
682,False,7.5653844e-07
834,False,7.526855e-07
901,False,1.1177736e-06
704,False,2.015092e-06
1268,False,2.2323835e-07
1401,False,2.2810094e-07
1122,False,2.6656363e-07
814,True,2.2068194e-07
1372,False,0.00022357106
675,True,2.1766002e-07
1427,False,5.4354814e-07
1535,False,3.4982799e-07
1218,False,3.323228e-06
1275,True,2.1994258e-07
801,False,6.497198e-07
882,False,9.42299e-07
1190,False,8.510169e-07
1149,False,8.2104634e-07
705,False,7.9859836e-07
14,False,3.174282e-07
1236,False,3.0922115e-06
571,False,1.8156949e-06
1204,False,1.9682255e-07
1075,False,0.00040065337
97,False,5.4242963e-07
634,False,4.9002654e-07
716,False,8.6155853e-07
1369,False,8.114159e-07
1160,False,3.033237e-07
836,False,1.0833214e-06
118,False,6.901683e-07
1347,True,2.1965813e-07
1516,False,2.2798787e-07
1069,False,7.704217e-07
1002,False,9.014773e-07
384,False,8.856352e-07
86,False,8.6172616e-07
1266,False,4.8362017e-07
642,False,2.206164e-06
210,False,8.95452e-07
749,False,4.318024e-07
883,False,2.3856492e-07
762,True,2.2007393e-07
311,False,0.0012678871
1270,False,2.249268e-07
1051,False,8.707464e-05
91,False,1.5770382e-06
99,True,2.2011528e-07
1028,False,6.4151624e-07
968,False,3.819473e-07
1021,False,4.9889104e-07
985,False,9.927842e-07
1326,False,2.6087125e-06
1135,False,6.9944883e-07
860,False,2.775198e-07
1418,False,0.00013980462
1200,False,3.1537428e-07
224,False,7.3016116e-07
753,False,6.530588e-07
37,False,1.0965764e-06
1026,False,1.4313418e-06
679,False,1.1143427e-07
959,False,1.7603152e-06
254,False,1.4031245e-06
1128,False,1.7064457e-06
664,False,1.3139461e-05
164,False,1.2804216e-05
630,False,1.1767464e-06
548,False,4.807645e-07
1225,False,9.89209e-07
1153,False,3.4299268e-07
775,False,4.769263e-07
1234,False,3.904138e-06
1522,False,2.5216386e-06
596,False,3.7226567e-07
1311,True,2.1748635e-07
1352,False,7.4690215e-05
256,False,6.0087086e-07
1489,True,2.207232e-07
976,True,2.1841774e-07
715,False,2.3440414e-06
354,False,1.9805832e-07
1127,False,6.2731743e-07
774,False,4.2449417e-07
1295,False,4.242311e-07
544,False,3.4555922e-07
531,False,4.1657026e-06
1531,False,3.8229277e-07
880,False,1.4257017e-06
405,False,8.9228854e-07
564,False,1.1199771e-06
176,False,0.0001224238
1417,False,2.8494162e-07
902,False,5.4730475e-07
912,False,1.2596858e-07
1434,False,6.8987256e-06
383,False,3.3646612e-07
266,False,6.27266e-07
279,False,2.7982383e-06
93,False,3.0770411e-06
953,False,9.0942495e-07
34,False,3.2315766e-06
1197,False,3.506754e-07
793,False,2.9098157e-06
232,False,1.9604745e-06
1202,False,4.747361e-06
185,True,2.1829923e-07
1087,False,1.2096531e-06
1100,False,1.1368951e-06
134,False,1.1704429e-06
506,False,9.611709e-07
847,False,6.7337e-06
898,False,2.6736028e-05
1143,False,2.552283e-06
