Bumps,Dirtiness,K_Scratch,Other_Faults,Pastry,Stains,Z_Scratch
53,1,0,22,2,1,2
0,10,0,1,0,0,0
0,0,76,2,0,0,0
21,3,0,101,6,0,4
1,0,0,9,22,0,0
0,0,0,1,0,13,0
0,0,0,2,0,0,36
