Bumps,Dirtiness,K_Scratch,Other_Faults,Pastry,Stains,Z_Scratch
51,0,0,24,4,1,1
0,10,0,1,0,0,0
0,0,74,4,0,0,0
12,0,2,108,9,1,3
4,0,0,9,19,0,0
1,0,0,1,0,12,0
0,0,1,3,0,0,34
