Bumps,Dirtiness,K_Scratch,Other_Faults,Pastry,Stains,Z_Scratch
91,0,0,110,0,0,0
0,18,0,9,0,0,0
0,0,176,20,0,0,0
29,0,3,305,0,0,0
3,0,0,73,3,0,0
1,0,0,9,0,26,0
0,0,0,48,0,0,47
